Cohort Name,PI/Lead,Regions,Enroll Start,Enroll End,Enrolled,Target Enrollment,Genomic Data ,Env. Data,Bio specimens,Phenotypic Data,Data Sharing,Study website,Date Verified
Estonian Genome Project,Andres Metspalu,Estonia,2002,2018,"200,000.00","200,000.00",Yes,Yes,Yes,Yes,Yes,www.biobank.ee,Oct-19
Finnish Maternity Cohort Serum Bank,Heljä-Marja Surcel,Finland,1983,2016,"950,000.00",,Yes,No,Yes,No,Yes,www.esis.fi,Oct-19
Geisinger Cohort - MyCode Community Health Initiative,"Natasha Strande, David H Ledbetter",USA,2007,ongoing,"252,160.00","250,000.00",Yes,Yes,Yes,Yes,Yes,https://www.geisinger.org/precision-health/mycode,Oct-19
Generations Study (GS),Anthony Swerdlow,"UK, England, Scotland, Wales, Northern Ireland, Isle of Man, Channel Islands",2003,2015,"113,000.00","100,000.00",Yes,No,Yes,Yes,Yes,http://www.breakthroughgenerations.org.uk/home,Oct-19
"Genomics England / 100,000 Genomes Project",Mark Caulfield,England,2013,2018,"100,000.00","500,000.00",Yes,No,Yes,Yes,Yes,https://www.genomicsengland.co.uk/,Oct-19
German National Cohort (NAKO),Annette Peters,Germany,2014,2019,"205,217.00",,No,Yes,Yes,Yes,,https://nako.de/,Oct-19
Golestan Cohort Study,"Reza Malekzadeh, Christian Abnet, Paolo Boffetta, Paul Brennan, Farin Kamangar, Arash Etemadi",Iran,2004,2008,"50,000.00",,No,Yes,Yes,Yes,Yes,https://dceg2.cancer.gov/gemshare/,Oct-19
Healthy Nevada,Joe Grzymski,USA,2016,ongoing,"35,000.00","250,000.00",Yes,Yes,,Yes,Yes,Healthynv.org,Oct-19
Israel Genome Project,Gad Rennert,Israel,,ongoing,"140,000.00",,Yes,No,Yes,Yes,,https://www.academy.ac.il/Index3/Entry.aspx?nodeId=842&entryId=18745,Oct-19
Japan Public Health Center-based Prospective Study (JPHC),Shoichiro Tsugane,Japan,1990,1994,"130,000.00",,Yes,Yes,Yes,Yes,Yes,http://epi.ncc.go.jp/en/jphc/,Oct-19
Japan Public Health Center-based Prospective Study for the Next Generation (JPHC-NEXT),Shoichiro Tsugane,Japan,2011,2016,"115,000.00",,No,,Yes,Yes,Yes,https://epi.ncc.go.jp/jphcnext/en/index.html,Oct-19
"Kaiser Permanente Research Program on Genes, Environment, and Health",Catherine Schaefer,"USA, California",2008,ongoing,"210,000.00","500,000.00",Yes,Yes,Yes,Yes,Yes,http://www.dor.kaiser.org/external/DORExternal/rpgeh/index.aspx,Oct-19
Korea Biobank Project,"Jae-Pil Jeon,Changhoon Kim",Republic of Korea,,ongoing,"830,000.00",,Yes,No,Yes,Yes,Yes,http://www.nih.go.kr/NIH/eng/contents/NihEngContentView.jsp?cid=65660&menuIds=HOME004-MNU2210-MNU2327-MNU2346,Oct-19
Korean Cancer Prevention Study (KCPS-II Biobank),Sun Ha Jee,Korea,2004,2013,"156,701.00",,Yes,Yes,Yes,Yes,Yes,https://pubmed.ncbi.nlm.nih.gov/29186422/,Oct-19
Korean Genome and Epidemiology Study (KoGES),Hyun Young Park,South Korea,2001,2013,"235,000.00",,Yes,Yes,Yes,Yes,Yes,http://www.cdc.go.kr/contents.es?mid=a50401010100#1,Oct-19
"LifeGene (and sister cohort, EpiHealth)",Nancy Pedersen,Sweden,2009,2016,"51,300.00","300,000.00",Yes,Yes,Yes,Yes,Yes,https://www.lifegene.se/For-scientists/About-LifeGene/,Oct-19
LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging),Terrence Simmons,"Europe, Australian, USA",,,"235,000.00",,Yes,Yes,Yes,Yes,Yes,http://www.lifepathproject.eu/,Oct-19
Malaysian Cohort,Rahman Jamal,Malaysia,2007,2013,"106,527.00",,Yes,Yes,Yes,Yes,Yes,http://mycohort.gov.my/site/,Oct-19
Maule Cohort (MAUCO Study),Catterina Ferreccio,Chile,2015,2018,"9,200.00","10,000.00",Yes,Yes,Yes,Yes,Yes,http://www.accdis.cl/eng/en/,Oct-19
Mexico City Prospective Study,"Jesus Alegre, Jonathan Emberson, Pablo Kuri-Morales, Roberto Tapia-Conyer",Mexico,2998,2004,"159,755.00",,No,No,Yes,Yes,Yes,https://www.ctsu.ox.ac.uk/research/prospective-blood-based-study-of-150-000-individuals-in-mexico,Oct-19
Million Veteran Program,Mike Gaziano,USA,2011,ongoing,"785,000.00","1,000,000.00",Yes,Yes,Yes,Yes,,http://www.research.va.gov/mvp/,Oct-19
Million Women Study,Valerie Beral,"England, Scotland",1996,2001,"1,320,000.00",,,No,Yes,Yes,Yes,http://www.millionwomenstudy.org/introduction/,Oct-19
"Multiethnic Cohort Study (MEC, NCI)",Loic Le Marchand,"USA, Hawaii, California",1993,1997,"215,251.00",,Yes,Yes,Yes,Yes,Yes,https://www.uhcancercenter.org/mec,Oct-19
Netherlands Twin Registry,Dorret Boomsma,Netherlands,1987,ongoing,"275,000.00",,Yes,Yes,Yes,Yes,Yes,http://www.tweelingenregister.org/en/,Oct-19
Newfoundland 100K Genome Project / Sequence Bio,Michael Phillips,"Canada, Province of Newfoundland and Labrador",2018,ongoing,"520,000.00",,Yes,No,Yes,Yes,Yes,https://www.sequencebio.com/,Oct-19
"NHS (Nurses' Health Study, NCI)","Meir Stampfer, Rulla Tamimi",USA,1976,1976,"121,700.00",,Yes,Yes,Yes,Yes,Yes,https://www.nurseshealthstudy.org/,Oct-19
"NHSII (Nurses' Health Study II, NCI)","Walter Willett, Heather Eliassen",USA,1989,1989,"116,430.00",,Yes,Yes,Yes,Yes,Yes,https://www.nurseshealthstudy.org/,Oct-19
NICCC,Rennert Gad,,,ongoing,"40,000.00",,Yes,Yes,Yes,Yes,Yes,https://www.natureindex.com/institution-outputs/israel/clalit-national-israeli-cancer-control-center-niccc/5c34466670f236567a67603c,Oct-19
Northern Sweden Health and Disease Study,Beatrice Melin,Sweden,1985,ongoing,"135,000.00",,Yes,No,Yes,Yes,,http://www.biobank.umu.se/biobank/biobank---for-researchers/biobank-research---sample-collections/,Oct-19
Norwegian Family Based Life Course Study,Øyvind Næss,Norway,1960,2011,"5,266,270.00",,Yes,Yes,Yes,Yes,Yes,https://pubmed.ncbi.nlm.nih.gov/22735991/,Oct-19
Norwegian Mother and Child Cohort Study (MoBa),Per Magnus,Norway,1999,2008,"284,000.00",,Yes,Yes,Yes,Yes,Yes,https://www.fhi.no/en/studies/moba/,Oct-19
Pakistan Genomic Resource (PGR),Danish Salaheen,Pakistan,,,"150,000.00","1,000,000.00",Yes,,,,,https://www.cncdpk.com/page/Pakistan-Genomic-Resource-(PGR),Oct-19
PERSIAN Cohort Study,"Reza Malekzadeh, Hossein Poustchi, Farin Kamangar, Arash Etemadi",Iran,2014,ongoing,"180,000.00",,No,Yes,Yes,Yes,Yes,http://persiancohort.com,Oct-19
"PLCO (Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial, NCI)","Paul Pinsky, Neal Freedman",USA,1993,2001,"154,907.00",,Yes,Yes,Yes,Yes,Yes,http://prevention.cancer.gov/major-programs/prostate-lung-colorectal,Oct-19
Qatar Genome Project,Hamdi Mbarek,Qatar,2015,ongoing,"15,000.00","300,000.00",,,Yes,Yes,,https://qatargenome.org.qa/,Oct-19
SAPRIN (South African Population Research Infrastructure Network),Kobus Herbst,South Africa,1993,ongoing,"350,000.00","700,000.00",No,No,Yes,Yes,Yes,http://saprin.mrc.ac.za/,Oct-19
Saudi Human Genome Program,"Sultan AlSudiri, Malak Abedalthagafi",Saudi Arabia,,,"100,000.00",,No,No,Yes,,Yes,http://shgp.kacst.edu.sa/site/,Oct-19
Saudi National Biobank,Jahad Alghamdi,Saudi Arabia,,ongoing,"2,000.00",,No,No,Yes,Yes,Yes,http://www.ksau-hs.edu.sa/English/Research/Pages/KAIMRC.aspx,Oct-19
Shanghai Men and Women's Health Study (2 cohorts),Wei Zheng,"Shanghai, China",1996,2000,"136,000.00",,,No,Yes,Yes,,,Oct-19
Singapore National Precision Medicine Program,"Patrick Tan, E Shyong Tai",Singapore,,,"10,000.00","1,000,000.00",Yes,No,Yes,Yes,Yes,,Oct-19
South(east) Asian Cohorts - NETWORK,Rajiv Chowdhury,"Bangladesh, Malaysia, Sri Lanka",2010,ongoing,"75,000.00","150,000.00",Yes,Yes,Yes,Yes,Yes,,Oct-19
Taiwan Biobank,"Te-Chang Lee, Chung-ke Chang",Taiwan,2012,ongoing,"118,548.00","200,000.00",Yes,No,Yes,Yes,Yes,https://www.twbiobank.org.tw/new_web/,Oct-19
Trøndelag Health Study (HUNT),Steinar Krokstad,Norway,1984,2019,248000,,Yes,Yes,Yes,Yes,Yes,http://www.ntnu.edu/hunt,May-19
U.S. Precision Medicine Initiative / All of Us,Stephanie Devaney,USA,2018,ongoing,"191,105.00","1,000,000.00",Yes,Yes,Yes,Yes,Yes,https://allofus.nih.gov/,Oct-19
UK Biobank,Rory Collins,"England, Scotland, Wales",2006,2010,"502,713.00","500,000.00",Yes,Yes,Yes,Yes,Yes,http://www.ukbiobank.ac.uk/,Oct-19
UK Blood Donor Cohorts,"Emanuele Di Angelantonio, John Danesh",UK,2012,ongoing,,,Yes,Yes,Yes,Yes,Yes,http://www.intervalstudy.org.uk/,Oct-19
UKLWC (UK Collaborative Trial of Ovarian Cancer Screening) Longitudinal Women‚Äôs Cohort UKLWC,Usha Menon,"England, Wales, Northern Ireland",2001,2005,"202,638.00",,No,No,Yes,Yes,Yes,http://www.isrctn.com/ISRCTN22488978,Oct-19
Vorarlberg Health Monitoring and Promotion Programme (VHM&PP),"Hans Concin, Gabriele Nagel, Hanno Ulmer",Austria,1985,2014,"180,000.00",,No,Yes,Yes,Yes,Yes,http://www.ucl.ac.uk/womens-health/research/womens-cancer/gynaecological-cancer-research-centre/ukctocs,Oct-19
WHI (Women's Health Initiative),Garnet Anderson,USA,1993,1998,"161,808.00",,Yes,Yes,Yes,Yes,Yes,https://www.whi.org/SitePages/WHI%20Home.aspx,Oct-19
