STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000166	information_entity	Lead(Pb)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000021	information_entity	Number of siblings and children	http://purl.obolibrary.org/obo/GECKO_0000066	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000193	information_entity	Hematuria	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000092	information_entity	Health-related quality of life (WHOQOL, EQ-SD, SF-12)	http://purl.obolibrary.org/obo/OGMS_0000020	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000087	information_entity	Gastroenterologic disorder	http://purl.obolibrary.org/obo/MONDO_0004335	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000045	information_entity	Length of menstrual cycle	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000057	information_entity	Height & weight	http://purl.obolibrary.org/obo/CMO_0000106	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000057	information_entity	Height & weight	http://purl.obolibrary.org/obo/CMO_0000012	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000208	information_entity	Microalbumin	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000160	information_entity	RF	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000113	information_entity	Glucose (1hr on OGTT)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000012	information_entity	Treatment progress (current treatment)	http://purl.obolibrary.org/obo/GECKO_0000093	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000184	information_entity	Lactate Dehydrogenase (LDH)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000179	information_entity	IGF-1	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000137	information_entity	Potassium(K) (Blood)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000149	information_entity	Thyroglobulin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000181	information_entity	Luteinizing hormone (LH)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000037	information_entity	Physical activity	http://purl.obolibrary.org/obo/GECKO_0000104	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000119	information_entity	Total Protein	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000064	information_entity	Glucose (fasting)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000194	information_entity	Color	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000032	information_entity	Sleeping pattern	http://purl.obolibrary.org/obo/GECKO_0000071	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000101	information_entity	Physical performance test (SPPB, SFT)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000088	information_entity	Otorhinolaryngologic disorder (Ear, Nose)	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000103	information_entity	Brain MRI	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000056	information_entity	Anthropometric measurements	http://purl.obolibrary.org/obo/CMO_0000021	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000161	information_entity	Osteocalcin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000156	information_entity	Free T3	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000083	information_entity	24 hour recall dietary survey	http://purl.obolibrary.org/obo/GECKO_0000072	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000114	information_entity	Glucose (2hr on OGTT)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000204	information_entity	Calcium (Urine)	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000040	information_entity	Household chores	http://purl.obolibrary.org/obo/GECKO_0000104	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000050	information_entity	Durations and outcome of pregnancies	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000148	information_entity	25-OH-Vitamin D	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000003	information_entity	Socio-demographic data	http://purl.obolibrary.org/obo/PATO_0001995	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000180	information_entity	Testosterone	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000175	information_entity	Helicobacter pylori	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000063	information_entity	Complete blood cell count	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000132	information_entity	Phosphate	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000075	information_entity	pH	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000033	information_entity	Hours of sleep	http://purl.obolibrary.org/obo/GECKO_0000071	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000028	information_entity	Drinking habits	http://purl.obolibrary.org/obo/GECKO_0000069	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000100	information_entity	Neuropsychological test (SNSB-II)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000060	information_entity	Blood pressure & pulse rate	http://purl.obolibrary.org/obo/CMO_0000294	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000060	information_entity	Blood pressure & pulse rate	http://purl.obolibrary.org/obo/CMO_0000003	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000099	information_entity	Cognitive Function test	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000009	information_entity	Disease history of hypertension, diabetes, hyperlipidemia, stroke, angina/myocardial infraction, cancer, etc.	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000155	information_entity	Calcium(Ca) (Blood)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000084	information_entity	Sleep disorder	http://purl.obolibrary.org/obo/MONDO_0005084	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000167	information_entity	Aluminum(Al)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000094	information_entity	Dementia screening (K-MMSE, K-MoCA)	http://purl.obolibrary.org/obo/MONDO_0005084	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000125	information_entity	Fibrinogen	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000203	information_entity	Uric acid	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000152	information_entity	Ferritin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000051	information_entity	Breastfeeding	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000046	information_entity	Menopause status	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000004	information_entity	Education level	http://purl.obolibrary.org/obo/GECKO_0000065	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000176	information_entity	Carcinoembryonic antigen (CEA)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000128	information_entity	Adiponectin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000014	information_entity	Surgery (operation) history	http://purl.obolibrary.org/obo/GECKO_0000092	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000186	information_entity	Apo E genotype	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000074	information_entity	Core Urine test	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000143	information_entity	Basophil	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000027	information_entity	Secondhand smoking	http://purl.obolibrary.org/obo/GECKO_0000068	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000199	information_entity	Bacteria	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000039	information_entity	Excercises	http://purl.obolibrary.org/obo/GECKO_0000104	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000071	information_entity	Total cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000095	information_entity	Dementia screening by caregiver (CS-KGDS, KDSQ-C)	http://purl.obolibrary.org/obo/MONDO_0005084	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000105	information_entity	Spirometry	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000151	information_entity	UIBC	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000163	information_entity	Vitamin D	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000129	information_entity	Glucagon	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000015	information_entity	Previous surgery (operation)	http://purl.obolibrary.org/obo/GECKO_0000092	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000187	information_entity	Substudy Urine test	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000139	information_entity	Neutrophil	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000182	information_entity	Follicle Stimulation Hormone (FSH)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000038	information_entity	Regular physical activity	http://purl.obolibrary.org/obo/GECKO_0000104	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000070	information_entity	y-GTP	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000065	information_entity	Albumin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000134	information_entity	Apolipoprotein A	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000102	information_entity	Grip strength	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000022	information_entity	Lifestyle	http://purl.obolibrary.org/obo/GECKO_0000067	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000089	information_entity	Arthritis	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000116	information_entity	Insulin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000162	information_entity	C-telopeptide	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000157	information_entity	Free T4	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000205	information_entity	Sodium (Urine)	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000041	information_entity	Climbing stairs	http://purl.obolibrary.org/obo/GECKO_0000104	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000053	information_entity	Dietary survey	http://purl.obolibrary.org/obo/GECKO_0000072	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000178	information_entity	DHEA-S	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000018	information_entity	Previous diagnosis (Family disease history)	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000066	information_entity	Blood urea nitrogen (BUN)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000133	information_entity	Tropinin T	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000076	information_entity	Protein	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000145	information_entity	Mean platelet volume (MPV)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000029	information_entity	Amount of drinking	http://purl.obolibrary.org/obo/GECKO_0000069	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000130	information_entity	C-peptide	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000115	information_entity	HbA1C	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000158	information_entity	TSH	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000085	information_entity	In-depth questionnaire (By disease)	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000168	information_entity	Zinc(Zn)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000190	information_entity	Urobilinogen	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000097	information_entity	Vascular dementia / Alzheimers disease screening (Ischemia Scales)	http://purl.obolibrary.org/obo/MONDO_0005084	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000126	information_entity	Alkaline phosphate	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000206	information_entity	Potassium (Urine)	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000153	information_entity	Oxidized LDL	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000006	information_entity	Household income	http://purl.obolibrary.org/obo/PATO_0001995	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000052	information_entity	Infertility	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000047	information_entity	Reproductive history	http://purl.obolibrary.org/obo/GECKO_0000114	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000005	information_entity	Marital status	http://purl.obolibrary.org/obo/PATO_0001995	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000177	information_entity	Cancer antigen 125 (CA125)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000110	information_entity	Pulse Wave Velocity (PWV)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000017	information_entity	Family disease history	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000189	information_entity	Bilirubin	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000120	information_entity	Total Bilirubin	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000200	information_entity	Crystals	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000019	information_entity	Relationship	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000077	information_entity	Glucose	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000144	information_entity	Red cell distribution width (RDW)	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000171	information_entity	Hepatitis B antibody	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000072	information_entity	HDL-Cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000141	information_entity	Monocyte	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000169	information_entity	Blood type	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000024	information_entity	Amount of ciagrettes	http://purl.obolibrary.org/obo/GECKO_0000068	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000096	information_entity	Depression (GDS)	http://purl.obolibrary.org/obo/MONDO_0005084	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000196	information_entity	W.B.C.	http://purl.obolibrary.org/obo/UBERON_0001088	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000106	information_entity	Bone strength (sonometer)	http://purl.obolibrary.org/obo/CMO_0000000	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000154	information_entity	8-OHdG	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
IHCC Basic	https://purl.ihccglobal.org/KoGES_0000164	information_entity	Estradiol	http://purl.obolibrary.org/obo/UBERON_0000178	Knocean	2020-09-07 18:36:33
