		availability		For each data type present, is it available/accessible for research? 	DUO code(s)	Availability	NCIT:C25429	The quality of being obtainable or accessible and ready for use or service.	TBD	all?		
		processing method		For each data type present, what was the processing method used (eg. sequencer/software)? 	Alphanumeric	Methodology	NCIT:C86572	The system of methods followed in a particular discipline.	TBD			
		associated cell type/tissue type/biosample		For each data type present, what are the associated cell/tissue/biosample types? 	Alphanumeric (or Categorical?)	Specimen Source Site	NCIT:C159256	A request to identify the specimen source site.	TBD			
		associated phenotype		For each data type present, what are the associated phenotype(s)?	Alphanumeric 	Trait/Phenotype	NCIT:C985496/NCIT:C16977 	Any genetically determined characteristic/The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment.				
		associated disease		For each data type present, what are the associated diseases?	Alphanumeric 	Diagnosis	NCIT:C15220	The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.				
		associated medication 		For each data type present, what are the associated medications?	Alphanumeric 	Medication	NCIT:C459		TBD	4.1,4.2,5.1,5.2,5.3		
survey administration (NCIT:C64252)	date and time-related information			Have you collected the date/time of survey assessments?	Yes/No (Binary)	Assessment Date	NCIT:C93511	The date (and time) on which an assessment is completed.	4			
	consent/accessibility			Is there consent for your survey data to be accessible for research? 	DUO code(s)	Informed consent	NCIT:C16735	Consent by a patient to a surgical or medical procedure or participation in a clinical study after achieving an understanding of the relevant medical facts and the risks involved.	TBD			
	unique identifiers			Are there unique identifiers for subjects/participants?	Yes/No (Binary)	Identifier	NCIT:C25364	One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.	6	all?		
questionnaire/survey data (NCIT:C17176)	socio-demographic and economic characteristics	age/birthdate		If this data type is present, what are the associated variables from your cohort's survey/questionnaire? For each associated variable, what is the data type (eg. categorical/binary/numeric/alphanumeric/datetime), the data collection event or time point (if applicable), the population type (if there are different participants sharing one identifier; eg. child, mother, father)?	.csv format	Age /Birth Date	NCIT:C25150/NCIT:C68615		5	4.1		
		biological sex 				Sex	NCIT:C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	8	4.1		
		gender				Gender 	NCIT:C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.	8			
		ethnicity/race				Ethnicity/Race	NCIT:C16564/NCIT:C17049	A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease...	6	4.1		
		genealogy							TBD	4.1		
		birthplace							6	4.1?		
		residence				Residence	NCIT:C25273	Any address at which a person dwells more than temporarily.	6	4.1		
		education				Education	NCIT:C16529	The activities of educating or instructing or teaching; activities that impart knowledge or skill.	6			
		family and household structure							6			
	lifestyle and behaviours (lifestyle NCIT:C16795)	tobacco				Tobacco Smoking History	NCIT:C29719	A record of an individual's background in regard to smoking tobacco. This would include such factors as start date, end date (if applicable), number of cigarette smoked, attempts to quit, and others.	6			
		alcohol				Alcohol Use History	NCIT:C81229	A description of an individual's current and past experience with alcoholic beverage consumption.	5			
		physical activity				Physical Activity Measurement	NCIT:C120914	A measurement of a subject's physical activity or movement.	6			
		sleep				Sleep	NCIT:C73425	A natural and periodic state of rest during which consciousness of the world is suspended.	6			
		nutrition				Nutrition	NCIT:C28294	That which is consumed to fuel necessary life processes of an organism.	6			
	physician/practitioner info					Admitting Physician	NCIT:C51798	The physician responsible for the admission of a patient to a hospital or other inpatient health institution. The admitting physician evaluates patients, makes admitting decisions and assesses diagnostic and treatment plans	TBD			
	diseases (Disease or Disorder NCIT:C2991)	blood-related disorders				Hematopoietic and Lymphoid System Disorder	NCIT:C35814	Any deviation from the normal structure or function of the blood or lymphatic system that is manifested by a characteristic set of symptoms and signs.	5	4.1,4.2,5.1,5.2,5.3,5.4		
		endocrine/nutritional/metabolic disorders				Endocrine System Disorder	NCIT_C3009	A non-neoplastic or neoplastic disorder that affects the endocrine system. Representative examples of non-neoplastic disorders include diabetes mellitus, hyperthyroidism, and adrenal gland insufficiency. Representative examples of neoplastic disorders include carcinoid tumor, neuroendocrine carcinoma, and pheochromocytoma.…	6			
		mental and behaviour disorders				Psychiatric Disorder/Behavioural Disorder	NCIT:C2893/NCIT:C35470	A disorder characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. The symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. Representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia.…/A specific behavioral problem that occurs in persistent patterns and characteristic clusters and that causes clinically significant impairment. 	5			
		nervous system				Nervous System Disorder	NCIT:C26835	A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.	5			
		digestive system				Digestive System Disorder	NCIT:C2990	A non-neoplastic or neoplastic disorder that affects the gastrointestinal tract, anus, liver, biliary system, and pancreas.	5			
		respiratory system				Respiratory System Disorder	NCIT:C26871	A non-neoplastic or neoplastic disorder that affects the respiratory system. Representative examples include pneumonia, chronic obstructive pulmonary disease, pulmonary failure, lung adenoma, lung carcinoma, and tracheal carcinoma.	5			
		circulatory system				Cardiovascular Disorder	NCIT:C2931		5			
		oncological 				Cancer-Related Condition	NCIT:C8278		TBD			
	signs and symptoms (Sign or Symptom NCIT:C100104)								5			
	physiological measurements	anthropometry	weight			Weight	NCIT:C25208	The vertical force exerted by a mass as a result of gravity.	6			
			height			Height	NCIT:C25347	The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.				
		circulation and respiration	blood pressure			Blood Pressure	NCIT:C54706	The pressure of the circulating blood against the walls of the blood vessels.	6			
			heart rate (HR)			Heart Rate	NCIT:C49677	The number of heartbeats per unit of time, usually expressed as beats per minute.				
	non-pharmacological interventions 	surgical interventions				Vasculature Mechanical or Surgical Intervention	NCIT_C119212		6			
	medication (Medication NCIT:C459)	associated disease(s)							6	4.1,4.2,5.1,5.2,5.3,5.4		
		prescription				Prescription	NCIT:C28180	A verbal or written order given by an authorized person instructing a patient to obtain and use a medical device, prescription or undergo a procedure.				
		drug response(s)										
		posology				Dosage Regimen	NCIT:C142516	The specific way a therapeutic drug is to be taken, including formulation, route of administration, dose, dosing interval, and treatment duration.				
		administration method										
	life stage/time point					Life Stage	NCIT:C89335	A designation assigned to a particular period during a life cycle, generally defined by chronological parameters.	TBD			
general research data documents (pdf, ppt, images etc)						Research Material	NCIT:C84338	Any item with which a scientist works.	TBD	5.3		
statistics	summary statistics for additional data from federated sources			*** need to confirm: these are existing statistical analyses that can complement Use Case 5.2's analyses? 		Statistical Analysis Documentation	NCIT:C115732	Records pertaining to the statistical analyses and reports of a clinical trial.	TBD	4.1,4.2		
