Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohort ID,AME,UPS,AHRI,AOU,ACSCIII,ACSCII,AWG,BHP,BGI,BBJ,CGN,CTS,CPTH,CKB,CHOP,CSN,CON,CUE,DNB,DNBC,DPU,ELS,EPI,ESB,EPIC,GEV,GAH,GCH,HNP,ILHG,JHU,JPHC,KPRB,KEM,KBP,KCP,LIG,MUCHAP,MAU,MCPS,MCS,NICCC,NSH,NFBL,NHSI,NHSII,NIE,PLCO,SIM,QBC,QAG,SAPRIN,SBI,SGK,SHS,SAB,SAC,TWB,HUNT,TMC,TMM,UCL,UGPC,UKB,BDC,USN,VHM,WHI,UKLWC,GES,GEE,KOGES,BVU,ECHO,FMCS,GCO,NAKO,IGP,LFP,MVP,MWS,NTR,PGR,PCS,SNB,PEACE,MOBA
Data Sharing,Y - 26-50% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,,,100% of cohort,,Y - 26-50% of cohort,,,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,,100% of cohort,100% of cohort,,,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,100% of cohort,,100% of cohort,None - 0% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 26-50% of cohort,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,,Y - 1-25% of cohort,% Unknown,100% of cohort,100% of cohort,100% of cohort,Y - 76-100% of cohort,100% of cohort,100% of cohort,None - 0% of cohort,100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,Y - 76-100% of cohort,No - 0% of cohort,100% of cohort,No - 0% of cohort,Y - 76-100% of cohort,76-100% of cohort,Y - 76-100% of cohort,100% of cohort,Y - 76-100% of cohort,None - 0% of cohort,No - 0% of cohort,,Yes - 76-100% of cohort,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes
Type of Cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case-control,,,,,,,No,,,,Yes,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cross-sectional,Yes,,,,,,Yes,,,,,,Yes,,,Yes,,Yes,,,Yes,,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Longitudinal,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Health records,,,,yes,,,No,,Yes,,,,Yes,,Yes,,,,,,No,,,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Other,,,,,,,,,,,,,,,,,,,Yes,,Multi-modal,,,,,,,"Prospective study, Clinical trial nested in Cohort",,Families,,,,,,,,,"Population-based, random sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cohort Ancestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,100% of cohort,100% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,76-100% of cohort,1-25% of cohort,76-100% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,26-50% of cohort,76-100% of cohort,% Unknown,% Unknown,None - 0% of cohort,100% of cohort,100% of cohort,1-25% of cohort,None - 0% of cohort,76-100% of cohort,100% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,76-100% of cohort,100% of cohort,100% of cohort,76-100% of cohort,100% of cohort,1-25% of cohort,76-100% of cohort,76-100% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,1-25% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
"Black, African American, or African",1-25% of cohort,1-25% of cohort,100% of cohort,Y - 26-50% of cohort,% Unknown,% Unknown,100% of cohort,100% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,26-50% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,100% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,76-100% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,76-100% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,1-25% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
European or White,51-75% of cohort,51-75% of cohort,None - 0% of cohort,Y - 51-75% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,76-100% of cohort,51-75% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,76-100% of cohort,76-100% of cohort,76-100% of cohort,% Unknown,Y - 76-100% of cohort,26-50% of cohort,76-100% of cohort,% Unknown,76-100% of cohort,51-75% of cohort,None - 0% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,Y - 26-50% of cohort,76-100% of cohort,76-100% of cohort,76-100% of cohort,76-100% of cohort,Y - 51-75% of cohort,76-100% of cohort,100% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,76-100% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,None - 0% of cohort,76-100% of cohort,76-100% of cohort,Y - 51-75% of cohort,76-100% of cohort,% Unknown,76-100% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
"Hispanic, Latino, or Spanish",1-25% of cohort,1-25% of cohort,None - 0% of cohort,Y - 26-50% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,None - 0% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,% Unknown,None - 0% of cohort,% Unknown,% Unknown,100% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,Y - 51-75% of cohort,100% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,% Unknown,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Middle Eastern or North African,1-25% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,% Unknown,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,None - 0% of cohort,76-100% of cohort,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,76-100% of cohort,100% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
Other,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,% Unknown,1-25% of cohort,1-25% of cohort,1-25% of cohort,% Unknown,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,Y - 26-50% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,1-25% of cohort,None - 0% of cohort,% Unknown,None - 0% of cohort,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown,% Unknown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment Start Year,2008,2005,2000,2018,2006/2013,1992/1993,2012,1978,2015,,2020,1995/1996,2007,2004,2006,2019,2012,2020,1950s,1996,2014,2008,2011,2002/2011,1992,2020,2015,2004,2018,2022,2002,1990/2011,2007,2003,2008,2004,2009,2005,2014,1998,1993,2000,1985,2022,1976,1989,2013,1994,1987,2013,2016,1992,2019,,1997,2017,2010,2012,1984,2007,2013,2001,1989,2006,2012,2000,,1993,,2003,2013,2001,2007,1980,1983,2007,2014,,,2011,1996,1987,,2014,,2014,1999
Enrollment End Year,,2009,,,ongoing,2022,2020/2022,,,,2021,Ongoing,,2008,,2019,2023,,,2002,Ongoing,2010,2018,2017/2022,,,Ongoing,2008,,,,2011/2016,,,,2013,2016,2024,2024,2004,1996,,Ongoing,2022,1976,1989,2013,2001,,,,,Ongoing,,,,,,1984,,2013,2005,,2010,Ongoing,,,1998,,2015,2018,2013,,Ongoing,2016,,2019,,,,2001,,,,,,2008
Current Enrollment,"10,000,000","267,000","150,000","650,000","303,000","184,000","12,000","200,000","10,000","270,000","3,000","133,477","345,000","512,000","130,000",100,"220,000","15,000","4,000,000","180,000","3,600,000","13,800","25,000","210,000","521,468","100,000","50,000","505,000","60,000",200,"800,000","115,000","419,000","300,000","650,000","160,407","50,000","75,000","11,700","150,000","215,000","50,000","125,000","7,400,000","121,701","116,430","9,414","154,000","115,501","40,000","30,000","400,000","5,000","60,000","136,000","180,000","80,000","200,000","240,000","120,000","150,000","202,638","22,000","501,479","100,000","105,000","180,000","54,000","202,638","113,000","100,000","235,000","244,000",,"950,000","252,160","205,217","140,000","235,000","785,000","1,320,000","275,000","150,000","180,000","2,000","2,000,000","284,000"
