Label	Class Type	GECKO Label	GE Parents	Comment																				
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPLOC_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period	order of an episode during augmented care																				
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPN_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period	death and organ donation																				
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPOUT_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period	was augmented care planned before admission?																				
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPPLAN_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period	location of patient before augmented care (e.g. ICU, recovery, ER, etc.)																				
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
ACPSOUR_N		history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period	speciality of consultant managing the augmented care																				
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
High-dependency care level			Augmented/critical care period	number of days of high-dependency care during augmented care (is this life support?)																				
depdays_2			Augmented/critical care period																					
depdays_3			Augmented/critical care period																					
depdays_4			Augmented/critical care period																					
depdays_5			Augmented/critical care period																					
depdays_6			Augmented/critical care period																					
depdays_7			Augmented/critical care period																					
depdays_8			Augmented/critical care period																					
depdays_9			Augmented/critical care period																					
Intensive care level days		history of intensive care	Augmented/critical care period																					
intdays_2		history of intensive care	Augmented/critical care period																					
intdays_3		history of intensive care	Augmented/critical care period																					
intdays_4		history of intensive care	Augmented/critical care period																					
intdays_5		history of intensive care	Augmented/critical care period																					
intdays_6		history of intensive care	Augmented/critical care period																					
intdays_7		history of intensive care	Augmented/critical care period																					
intdays_8		history of intensive care	Augmented/critical care period																					
intdays_9		history of intensive care	Augmented/critical care period																					
Number of augmented care periods within episode		history of augmented care	Augmented/critical care period																					
Number of organ systems supported		history of organ support	Augmented/critical care period																					
orgsup_2		history of organ support	Augmented/critical care period																					
orgsup_3		history of organ support	Augmented/critical care period																					
orgsup_4		history of organ support	Augmented/critical care period																					
orgsup_5		history of organ support	Augmented/critical care period																					
orgsup_6		history of organ support	Augmented/critical care period																					
orgsup_7		history of organ support	Augmented/critical care period																					
orgsup_8		history of organ support	Augmented/critical care period																					
orgsup_9		history of organ support	Augmented/critical care period																					
Early cancer diagnosis		oncological	Cancer diagnosis																					
CCG Code			CCG	clinical commission group																				
CCG Name			CCG	clinical commission group																				
Cause Code			Clinical	cause of injury or poisoning																				
diag_13			Clinical	should be under Clinical diagnoses - this can be disease or trauma																				
diag_14			Clinical																					
diag_15			Clinical																					
diag_16			Clinical																					
diag_17			Clinical																					
diag_18			Clinical																					
diag_19			Clinical																					
diag_20			Clinical																					
Date of procedure		surgical interventions	Clinical																					
opdate_02		surgical interventions	Clinical																					
opdate_03		surgical interventions	Clinical																					
opdate_04		surgical interventions	Clinical																					
opdate_05		surgical interventions	Clinical																					
opdate_06		surgical interventions	Clinical																					
opdate_07		surgical interventions	Clinical																					
opdate_08		surgical interventions	Clinical																					
opdate_09		surgical interventions	Clinical																					
opdate_10		surgical interventions	Clinical																					
opdate_11		surgical interventions	Clinical																					
opdate_12		surgical interventions	Clinical																					
opdate_13		surgical interventions	Clinical																					
opdate_14		surgical interventions	Clinical																					
opdate_15		surgical interventions	Clinical																					
opdate_16		surgical interventions	Clinical																					
opdate_17		surgical interventions	Clinical																					
opdate_18		surgical interventions	Clinical																					
opdate_19		surgical interventions	Clinical																					
opdate_20		surgical interventions	Clinical																					
opdate_21		surgical interventions	Clinical																					
opdate_22		surgical interventions	Clinical																					
opdate_23		surgical interventions	Clinical																					
opdate_24		surgical interventions	Clinical																					
Operation status code		surgical interventions	Clinical																					
Operative procedure		surgical interventions	Clinical																					
opertn_02		surgical interventions	Clinical																					
opertn_03		surgical interventions	Clinical																					
opertn_04		surgical interventions	Clinical																					
opertn_05		surgical interventions	Clinical																					
opertn_06		surgical interventions	Clinical																					
opertn_07		surgical interventions	Clinical																					
opertn_08		surgical interventions	Clinical																					
opertn_09		surgical interventions	Clinical																					
opertn_10		surgical interventions	Clinical																					
opertn_11		surgical interventions	Clinical																					
opertn_12		surgical interventions	Clinical																					
opertn_13		surgical interventions	Clinical																					
opertn_14		surgical interventions	Clinical																					
opertn_15		surgical interventions	Clinical																					
opertn_16		surgical interventions	Clinical																					
opertn_17		surgical interventions	Clinical																					
opertn_18		surgical interventions	Clinical																					
opertn_19		surgical interventions	Clinical																					
opertn_20		surgical interventions	Clinical																					
opertn_21		surgical interventions	Clinical																					
opertn_22		surgical interventions	Clinical																					
opertn_23		surgical interventions	Clinical																					
opertn_24		surgical interventions	Clinical																					
Count of procedures		surgical interventions	Clinical																					
Post-operative duration		surgical interventions	Clinical																					
Pre-operative duration		surgical interventions	Clinical																					
Waiting calculation indicator			Clinical	if and how 'Days Waiting' was calculated - timeline?																				
A&E diagnosis: 2 character			Clinical diagnoses	disease or trauma																				
diag2_02			Clinical diagnoses																					
diag2_03			Clinical diagnoses																					
diag2_04			Clinical diagnoses																					
diag2_05			Clinical diagnoses																					
diag2_06			Clinical diagnoses																					
diag2_07			Clinical diagnoses																					
diag2_08			Clinical diagnoses																					
diag2_09			Clinical diagnoses																					
diag2_10			Clinical diagnoses																					
diag2_11			Clinical diagnoses																					
diag2_12			Clinical diagnoses																					
A&E diagnosis - anatomical area			Clinical Diagnoses	disease or trauma																				
diaga_02			Clinical Diagnoses																					
diaga_03			Clinical Diagnoses																					
diaga_04			Clinical Diagnoses																					
diaga_05			Clinical Diagnoses																					
diaga_06			Clinical Diagnoses																					
diaga_07			Clinical Diagnoses																					
diaga_08			Clinical Diagnoses																					
diaga_09			Clinical Diagnoses																					
diaga_10			Clinical Diagnoses																					
diaga_11			Clinical Diagnoses																					
diaga_12			Clinical Diagnoses																					
A&E diagnosis - anatomical side			Clinical Diagnoses	disease or trauma																				
diags_02			Clinical Diagnoses																					
diags_03			Clinical Diagnoses																					
diags_04			Clinical Diagnoses																					
diags_05			Clinical Diagnoses																					
diags_06			Clinical Diagnoses																					
diags_07			Clinical Diagnoses																					
diags_08			Clinical Diagnoses																					
diags_09			Clinical Diagnoses																					
diags_10			Clinical Diagnoses																					
diags_11			Clinical Diagnoses																					
diags_12			Clinical Diagnoses																					
Diagnosis Scheme in Use			Clinical diagnoses	e.g. ICD-10																				
Number of Procedures		surgical interventions	Clinical Diagnosis																					
Number of Diagnoses			Clinical Diagnosis|Clinical diagnoses	disease or trauma																				
A&E investigation		laboratory measures|physiological measurements	Clinical Investigations	should I use OR or just two parents?																				
invest_02		laboratory measures|physiological measurements	Clinical Investigations																					
invest_03		laboratory measures|physiological measurements	Clinical Investigations																					
invest_04		laboratory measures|physiological measurements	Clinical Investigations																					
invest_05		laboratory measures|physiological measurements	Clinical Investigations																					
invest_06		laboratory measures|physiological measurements	Clinical Investigations																					
invest_07		laboratory measures|physiological measurements	Clinical Investigations																					
invest_08		laboratory measures|physiological measurements	Clinical Investigations																					
invest_09		laboratory measures|physiological measurements	Clinical Investigations																					
invest_10		laboratory measures|physiological measurements	Clinical Investigations																					
invest_11		laboratory measures|physiological measurements	Clinical Investigations																					
invest_12		laboratory measures|physiological measurements	Clinical Investigations																					
A&E Investigation: 2 character		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_02		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_03		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_04		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_05		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_06		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_07		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_08		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_09		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_10		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_11		laboratory measures|physiological measurements	Clinical Investigations																					
invest2_12		laboratory measures|physiological measurements	Clinical Investigations																					
Number of Investigations		laboratory measures|physiological measurements	Clinical Investigations																					
Number of Treatments		medication|non-pharmacological interventions	Clinical Treatments																					
A&E treatment		medication|non-pharmacological interventions	Clinical Treatments																					
treat_02		medication|non-pharmacological interventions	Clinical Treatments																					
treat_03		medication|non-pharmacological interventions	Clinical Treatments																					
treat_04		medication|non-pharmacological interventions	Clinical Treatments																					
treat_05		medication|non-pharmacological interventions	Clinical Treatments																					
treat_06		medication|non-pharmacological interventions	Clinical Treatments																					
treat_07		medication|non-pharmacological interventions	Clinical Treatments																					
treat_08		medication|non-pharmacological interventions	Clinical Treatments																					
treat_09		medication|non-pharmacological interventions	Clinical Treatments																					
treat_10		medication|non-pharmacological interventions	Clinical Treatments																					
treat_11		medication|non-pharmacological interventions	Clinical Treatments																					
treat_12		medication|non-pharmacological interventions	Clinical Treatments																					
A&E Treatment: 2 character		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_02		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_03		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_04		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_05		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_06		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_07		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_08		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_09		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_10		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_11		medication|non-pharmacological interventions	Clinical Treatments																					
treat2_12		medication|non-pharmacological interventions	Clinical Treatments																					
Patient classification			Clinical; Period of Care	ordinary, day, night, delivery, etc.																				
Intended management			Clinical; Period of Care	what was planned to happen in hospital																				
Treatment specialty		physician/practitioner info	Clinical; Period of Care																					
Main specialty		physician/practitioner info	Clinical; Period of Care|Clinical																					
diag_02			Clinical|Clinical diagnoses	disease or trauma																				
diag_03			Clinical|Clinical diagnoses																					
diag_04			Clinical|Clinical diagnoses																					
diag_05			Clinical|Clinical diagnoses																					
diag_06			Clinical|Clinical diagnoses																					
diag_07			Clinical|Clinical diagnoses																					
diag_08			Clinical|Clinical diagnoses																					
diag_09			Clinical|Clinical diagnoses																					
diag_10			Clinical|Clinical diagnoses																					
diag_11			Clinical|Clinical diagnoses																					
diag_12			Clinical|Clinical diagnoses																					
All Diagnosis codes			Clinical|Clinical Diagnosis|Clinical diagnoses	diagnosis codes for ER attendance (could be disease or trauma)																				
Organisation code (patient pathway ID issuer)		unique identifiers	Clinical|Patient Pathway																					
Commissioning Organisation Code			Commissioning Organisation																					
Commissioning Organisation Name			Commissioning Organisation																					
Last DNA or patient cancelled date			Count of diagnoses	this parent is not right? patient offered appt and missed date without advance notice																				
ccsorcloc		history of intensive care	Critical care admission and discharge data	type of location patient in prior to start of critical care (recorvery, imaging, ER, etc.)																				
acardsupdays		history of cardiovascular support	Critical care adult activity data																					
aressupdays		history of respiratory support	Critical care adult activity data																					
bcardsupdays		history of cardiovascular support	Critical care adult activity data																					
bressupdays		history of respiratory support	Critical care adult activity data																					
cclev2days		history of intensive care	Critical care adult activity data																					
cclev3days		history of intensive care	Critical care adult activity data																					
dermsupdays		history of dermatological support	Critical care adult activity data																					
gisupdays		history of gastrointestinal support	Critical care adult activity data																					
liversupdays		history of liver support	Critical care adult activity data																					
neurosupdays		history of neurological support	Critical care adult activity data																					
orgsupmax		history of organ support	Critical care adult activity data																					
rensupdays		history of renal support	Critical care adult activity data																					
ccadmisorc		history of intensive care	Critical care adult admission and discharge data	source of patient (same hospital, different hospital, etc.)																				
ccadmitype		history of intensive care	Critical care adult admission and discharge data	was critical care result of non-emergency?																				
ccdisdate		history of intensive care|life stage/time point	Critical care adult admission and discharge data	dicharge date if alive or date of death																				
ccdisdest		history of intensive care	Critical care adult admission and discharge data	destination of critical care discharge (same hospital, different hospital, etc.)																				
ccdisloc		history of intensive care	Critical care adult admission and discharge data	location for further care at end of critical care																				
ccdisrdydate		history of intensive care|life stage/time point	Critical care adult admission and discharge data	date declared ready for discharge or transfer																				
ccdisrdytime		history of intensive care|life stage/time point	Critical care adult admission and discharge data	time declared ready for discharge or transfer																				
ccdisstat		history of intensive care	Critical care adult admission and discharge data	discharge status (e.g. early discharge, continuing care in another location, died, etc.)																				
ccdistime		history of intensive care|life stage/time point	Critical care adult admission and discharge data	discharge time																				
unitbedconfig			Critical care adult admission and discharge data	level 2 beds, level 3 beds, or flexible - in unit																				
bestmatch			Critical care period of care	selects the best match for mulitple rows of critical care dates - this is just a Y/N flag																				
ccapcrel			Critical care period of care	used to select bestmatch - derived from episode start date and discharge date																				
ccstarttime		history of intensive care|life stage/time point	Critical care period of care	time critical care started																				
ccunitfun			Critical care period of care	principal service provided in ward patient was admitted to for critical care (e.g. cardiac, thoracic, burns, etc.)																				
ccstartdate		history of intensive care|life stage/time point	Critical care start date	critical care start date																				
Ambulatory Care Sensitive Condition Flag			Diagnosis																					
Principal alcohol related diagnosis		alcohol	Diagnosis																					
Principal alcohol related diagnosis		alcohol	Diagnosis																					
Principal alcohol related fraction		alcohol	Diagnosis																					
Count of diagnoses			Diagnosis	disease or trauma																				
Diagnostic Test Request Date			Diagnostic Test Dates	diagnostic tests could be physiological measurements or laboratory measures																				
Diagnostic Test Request Received Date			Diagnostic Test Dates																					
Diagnostic Test Date			Diagnostic Test Dates																					
Month of Test			Diagnostic Test Dates																					
Year of Test			Diagnostic Test Dates																					
Service Report Issue Date			Diagnostic Test Dates																					
Date of discharge		life stage/time point	Discharges; Period of Care																					
Destination on discharge			Discharges; Period of Care																					
Method of discharge			Discharges; Period of Care																					
Discharge ready date		life stage/time point	Discharges; Period of Care																					
Bed days within the year			Episodes and spells; Period of care																					
Episode duration		life stage/time point	Episodes and spells; Period of care																					
Date episode ended		life stage/time point	Episodes and spells; Period of care																					
Episode order			Episodes and spells; Period of care	transfer to care of another consultant increases number of episode (1,2,3,4...)																				
Date episode started		life stage/time point	Episodes and spells; Period of care																					
Episode status			Episodes and spells; Period of care	was episode still occurring on Mar 31 (end of year)? date or timeline?																				
Episode type			Episodes and spells; Period of care	general, delivery, birth, detained under mental health legisation or long-term psych patient, other deliver, other birth																				
Finished Admission Episode			Episodes and spells; Period of care																					
Finished Admission Episode, emergency classification			Episodes and spells; Period of care	admission from ER																				
Finished Consultant Episode			Episodes and spells; Period of care	continuous period of care under one consultant																				
Finished In-Year Discharge Episode			Episodes and spells; Period of care	(episodes and spells; period of care) patient was discharged at end of episode before end of year																				
Beginning of spell indicator			Episodes and spells; Period of care																					
Duration of spell			Episodes and spells; Period of care																					
End of spell indicator			Episodes and spells; Period of care																					
Ward type at start of episode			Episodes and spells; Period of care																					
Year and month of HES dataset			Episodes and spells; Period of care|Appointments																					
Ethnic Category Code		ethnicity/race	Ethnic Category																					
Ethnic Category Group		ethnicity/race	Ethnic Category																					
Ethnic Category Description		ethnicity/race	Ethnic Category																					
Fetal ID		unique identifiers	Fetal																					
Gender Code		gender	Gender																					
Gender Description		gender	Gender																					
Area Team of GP Practice			Geographical																					
Area Team of Residence			Geographical																					
Area Team of Treatment			Geographical																					
Cancer network		residence	Geographical																					
Cancer registry		residence	Geographical																					
CCG of GP Practice		location|physician/practitioner info	Geographical																					
CCG of Residence		residence	Geographical																					
CCG of Residence		residence	Geographical																					
Origin of CCG of Responsibility			Geographical	how CCG responsibility was assigned																				
CCG of Treatment		location	Geographical	CCG where patient was treated																				
Origin of CCG of Treatment			Geographical	how CCG treament was assigned																				
Commissioning Region of GP Practice		location	Geographical																					
Commissioning Region of Residence		residence	Geographical																					
Commissioning Region of Treatment		location	Geographical																					
Current electoral ward		residence	Geographical																					
Current electoral ward (ONS)		residence	Geographical																					
Government office region of treatment			Geographical																					
Local authority district in 1998			Geographical																					
Lower Super Output Area			Geographical																					
Lower Super Output Area			Geographical																					
Middle Super Output Area, 2011			Geographical																					
Westminster parliamentary constituency			Geographical																					
Westminster parliamentary constituency (ONS)			Geographical																					
County of residence (ONS)		residence	Geographical																					
Government Office region of residence		residence	Geographical																					
Government office region of residence (ONS)		residence	Geographical																					
Health Authority of residence		residence	Geographical																					
Local authority district of residence		residence	Geographical																					
Local authority district of residence (ONS)		residence	Geographical																					
PCT of residence - mapped according to data year		residence	Geographical																					
PCT of residence (2006)		residence	Geographical																					
Regional Office of residence		residence	Geographical																					
SHA of residence		residence	Geographical																					
SHA of residence (2006)		residence	Geographical																					
Regional Office of treatment			Geographical																					
Rural/Urban Indicator			Geographical																					
Electoral ward in 1991			Geographical																					
Electoral ward in 1998			Geographical																					
Census Output Area, 2011			Geographical																					
Census Output Area, 2011			Geographical																					
Census output area, 2001 (6 character ward identifier)			Geographical																					
primerecp			Geographical																					
PCT of residence (2002)		residence	Geographical																					
SHA of residence (2002)		residence	Geographical																					
PCT of residence - mapped according to data year		residence	Geographical																					
County of residence		residence	Geographical|Appointments																					
SHA area of treatment			Geographical|Appointments																					
Ordnance Survey grid reference			Geographical|Organisation data																					
Middle Super Output Area, 2001			Geographical|Patient Data																					
Site code of treatment			Geographical|Patient Data																					
Primary Care Trust area of main provider			Geographical|System Data																					
Trust derived dominant procedure			Healthcare resource groups (HRG) data	procedure code submitted to SUS - is this a surgical procedure?																				
Trust derived HRG value v3.5			Healthcare resource groups (HRG) data																					
Version No. of Trust derived HRG			Healthcare resource groups (HRG) data																					
SUS generated Core Spell HRG			Healthcare resource groups (HRG) data																					
SUS generated HRG			Healthcare resource groups (HRG) data																					
SUS generated HRG version number			Healthcare resource groups (HRG) data																					
SUS generated HRG for information			Healthcare resource groups (HRG) data																					
Trust derived HRG value			Healthcare resource groups (HRG) data|Patient Data																					
hr_score_expected_final_model3			Hip Replacement																					
Q1-HR6			Hip Replacement - Q1																					
Q1-HR9			Hip Replacement - Q1																					
Q1-HR3			Hip Replacement - Q1																					
Q1-HR1			Hip Replacement - Q1																					
hr_q1_score			Hip Replacement - Q1																					
hr_q1_score_complete			Hip Replacement - Q1																					
Q1-HR7			Hip Replacement - Q1																					
Q1-HR10			Hip Replacement - Q1																					
Q1-HR11			Hip Replacement - Q1																					
Q1-HR2			Hip Replacement - Q1																					
Q1-HR5			Hip Replacement - Q1																					
Q1-HR8			Hip Replacement - Q1																					
Q1-HR4			Hip Replacement - Q1																					
Q1-HR12			Hip Replacement - Q1																					
Q2-HR6			Hip Replacement - Q2																					
Q2-HR9			Hip Replacement - Q2																					
Q2-HR3			Hip Replacement - Q2																					
Q2-HR1			Hip Replacement - Q2																					
hr_q2_score			Hip Replacement - Q2																					
hr_q2_score_complete			Hip Replacement - Q2																					
Q2-HR7			Hip Replacement - Q2																					
Q2-HR10			Hip Replacement - Q2																					
Q2-HR11			Hip Replacement - Q2																					
Q2-HR2			Hip Replacement - Q2																					
Q2-HR5			Hip Replacement - Q2																					
Q2-HR8			Hip Replacement - Q2																					
Q2-HR4			Hip Replacement - Q2																					
Q2-HR12			Hip Replacement - Q2																					
Imaging Code (NICIP)			Imaging Codes																					
Imaging Code (NICIP) Description			Imaging Codes																					
Imaging Code (SNOMED)			Imaging Codes																					
Arthritis Indicator		diagnosis of arthritis	Indicators																					
Cancer Indicator		oncological	Indicators																					
Circulation			Indicators	leg pain due to poor circulation																				
Complete			Indicators	indicator if Q1 and Q2 are complete																				
Depression		diagnosis of depression	Indicators																					
Diabetes		diagnosis of diabetes	Indicators																					
Heart Disease Indicator		diagnosis of heart disease	Indicators																					
High Blood Pressiure Indicator		occurrence of high blood pressure	Indicators																					
Kidney Disease		diagnosis of renal disease	Indicators																					
Liver Disease		diagnosis of liver disease	Indicators																					
Lung Disease		respiratory system	Indicators																					
nervous_system		nervous system	Indicators																					
stroke		occurrence of stroke	Indicators																					
Q1 - KR10		signs and symptoms	Knee Replacement - Q1	may be too broad?																				
Q1 - KR8		signs and symptoms	Knee Replacement - Q1																					
Q1-KR7		signs and symptoms	Knee Replacement - Q1																					
Q1-KR2		signs and symptoms	Knee Replacement - Q1																					
Q1-KR1		signs and symptoms	Knee Replacement - Q1																					
Q1-KR5		signs and symptoms	Knee Replacement - Q1																					
Q1-KR11		signs and symptoms	Knee Replacement - Q1																					
Q1-KR12		signs and symptoms	Knee Replacement - Q1																					
Q1-KR6		signs and symptoms	Knee Replacement - Q1																					
Q1-KR4		signs and symptoms	Knee Replacement - Q1																					
Q1-KR5		signs and symptoms	Knee Replacement - Q1																					
Q1-KR3		signs and symptoms	Knee Replacement - Q1																					
Q1-KR9		signs and symptoms	Knee Replacement - Q1																					
Q2-KR10		signs and symptoms	Knee Replacement - Q2																					
Q2-KR8		signs and symptoms	Knee Replacement - Q2																					
