ID	Label	Class Type	GECKO Label	GE Parents	Comment																				
GE:ic_age5	Age Band 5 years		age/birthdate	Age Bands																					
GE:age_bands	Age Bands		Genomics England		broader than 'age/birthdate' - this is a grouping category																				
GE:neodur	Age of baby in days			Maternity																					
GE:admiage	Age on admission		age/birthdate	Patient Data																					
GE:arrivalage	Age on arrival			Patient Data																					
GE:apptage_calc	Age on arrival - babies decimalised			Patient Data																					
GE:arrivalage_calc	Age on arrival - babies decimalised			Patient Data																					
GE:apptage	Age on day of appointment			Patient Data																					
GE:diag_01	All Diagnosis codes			Clinical|Clinical Diagnosis|Clinical diagnoses	diagnosis codes for ER attendance (could be disease or trauma)																				
GE:delmeth_1	Alternative Delivery method (Derived)		pregnancy history	Maternity	method of birth (e.g. breech, forceps, etc.) may involve surgical intervention																				
GE:acscflag	Ambulatory Care Sensitive Condition Flag			Diagnosis																					
GE:delprean	Anaesthetic given during labour or delivery		pregnancy history|use of anaesthetics	Maternity																					
GE:delposan	Anaesthetic given post-labour or delivery		pregnancy history|use of anaesthetics	Maternity																					
GE:analysis_group	analysis_group		Genomics England																						
GE:antedur	Antenatal days of stay		pregnancy history	Maternity																					
GE:apptdate	Appointment date			Appointments																					
GE:appointments	Appointments		Genomics England		outpatient appointments (broad)																				
GE:at_gp_practice	Area Team of GP Practice			Geographical																					
GE:at_residence	Area Team of Residence			Geographical																					
GE:at_treatment	Area Team of Treatment			Geographical																					
GE:aressupdays	aressupdays		history of respiratory support	Critical care adult activity data																					
GE:arrivaldate	Arrival date			Attendances																					
GE:aearrivalmode	Arrival mode			Attendances																					
GE:arrivaltime	Arrival time			Attendances																					
GE:arthritis	Arthritis Indicator		diagnosis of arthritis	Indicators																					
GE:aeattendcat	Attendance category			Attendances																					
GE:aeattenddisp	Attendance disposal			Attendances																					
GE:atentype	Attendance type			Appointments																					
GE:attendances	Attendances		Genomics England		attendances to the ER (broad)																				
GE:aeattend_exc_planned	Attendances excluding planned			Attendances																					
GE:attended	Attended or did not attend			Appointments																					
GE:attendkey_flag	Attendence Key Flag			System Data																					
GE:acpspef_1	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period	speciality of consultant managing the augmented care																				
GE:acpspef_2	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_3	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_4	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_5	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_6	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_7	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_8	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpspef_9	Augmented care period specialty function code		physician/practitioner info|history of augmented care	Augmented/critical care period																					
GE:acpstar_1	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_2	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_3	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_4	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_5	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_6	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_7	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_8	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:acpstar_9	Augmented care period start date		history of augmented care|life stage/time point	Augmented/critical care period																					
GE:augmented_critical_care_period	Augmented/critical care period		history of augmented care|timeline																						
GE:bcardsupdays	bcardsupdays		history of cardiovascular support	Critical care adult activity data																					
GE:bedyear	Bed days within the year			Episodes and spells; Period of care																					
GE:spelbgin	Beginning of spell indicator			Episodes and spells; Period of care																					
GE:benchmark_group	benchmark_group		Genomics England																						
GE:bestmatch	bestmatch			Critical care period of care	selects the best match for mulitple rows of critical care dates - this is just a Y/N flag																				
GE:biresus_2	BIRESUS_N			Maternity																					
GE:biresus_3	BIRESUS_N			Maternity																					
GE:biresus_4	BIRESUS_N			Maternity																					
GE:biresus_5	BIRESUS_N			Maternity																					
GE:biresus_6	BIRESUS_N			Maternity																					
GE:biresus_7	BIRESUS_N			Maternity																					
GE:biresus_8	BIRESUS_N			Maternity																					
GE:biresus_9	BIRESUS_N			Maternity																					
GE:birordr_2	BIRORDR_N			Maternity																					
GE:birordr_3	BIRORDR_N			Maternity																					
GE:birordr_4	BIRORDR_N			Maternity																					
GE:birordr_5	BIRORDR_N			Maternity																					
GE:birordr_6	BIRORDR_N			Maternity																					
GE:birordr_7	BIRORDR_N			Maternity																					
GE:birordr_8	BIRORDR_N			Maternity																					
GE:birordr_9	BIRORDR_N			Maternity																					
GE:birstat_2	BIRSTAT_N			Maternity																					
GE:birstat_3	BIRSTAT_N			Maternity																					
GE:birstat_4	BIRSTAT_N			Maternity																					
GE:birstat_5	BIRSTAT_N			Maternity																					
GE:birstat_6	BIRSTAT_N			Maternity																					
GE:birstat_7	BIRSTAT_N			Maternity																					
GE:birstat_8	BIRSTAT_N			Maternity																					
GE:birstat_9	BIRSTAT_N			Maternity																					
GE:birordr_1	Birth Order		pregnancy history	Maternity	?																				
GE:birstat_1	Birth Status		pregnancy history	Maternity	baby stillborn or alive - maybe pregnancy history? not sure																				
GE:birweit_1	Birth Weight		pregnancy history|weight	Maternity	not sure if it's right to call this both																				
GE:birweit_2	BIRWEIT_N			Maternity																					
GE:birweit_3	BIRWEIT_N			Maternity																					
GE:birweit_4	BIRWEIT_N			Maternity																					
GE:birweit_5	BIRWEIT_N			Maternity																					
GE:birweit_6	BIRWEIT_N			Maternity																					
GE:birweit_7	BIRWEIT_N			Maternity																					
GE:birweit_8	BIRWEIT_N			Maternity																					
GE:birweit_9	BIRWEIT_N			Maternity																					
GE:bressupdays	bressupdays		history of respiratory support	Critical care adult activity data																					
GE:elecdur_calc	Calculation of Elecdur		life stage/time point	Admissions; Period of Care	above for waiting list or booked admissions 																				
GE:cancer_diagnosis	Cancer diagnosis		oncological																						
GE:cancer	Cancer Indicator		oncological	Indicators																					
GE:cannet	Cancer network		residence	Geographical																					
GE:canreg	Cancer registry		residence	Geographical																					
GE:carersi	Care Support Indicator			Psychiatric|Patient Data	is care available to patient at home?																				
GE:cause	Cause Code			Clinical	cause of injury or poisoning																				
GE:ccadmisorc	ccadmisorc		history of intensive care	Critical care adult admission and discharge data	source of patient (same hospital, different hospital, etc.)																				
GE:ccadmitype	ccadmitype		history of intensive care	Critical care adult admission and discharge data	was critical care result of non-emergency?																				
GE:ccapcrel	ccapcrel			Critical care period of care	used to select bestmatch - derived from episode start date and discharge date																				
GE:ccdisdate	ccdisdate		history of intensive care|life stage/time point	Critical care adult admission and discharge data	dicharge date if alive or date of death																				
GE:ccdisdest	ccdisdest		history of intensive care	Critical care adult admission and discharge data	destination of critical care discharge (same hospital, different hospital, etc.)																				
GE:ccdisloc	ccdisloc		history of intensive care	Critical care adult admission and discharge data	location for further care at end of critical care																				
GE:ccdisrdydate	ccdisrdydate		history of intensive care|life stage/time point	Critical care adult admission and discharge data	date declared ready for discharge or transfer																				
GE:ccdisrdytime	ccdisrdytime		history of intensive care|life stage/time point	Critical care adult admission and discharge data	time declared ready for discharge or transfer																				
GE:ccdisstat	ccdisstat		history of intensive care	Critical care adult admission and discharge data	discharge status (e.g. early discharge, continuing care in another location, died, etc.)																				
GE:ccdistime	ccdistime		history of intensive care|life stage/time point	Critical care adult admission and discharge data	discharge time																				
GE:ccg	CCG		Genomics England		clincial commision groups - this is broader than physcian?																				
GE:ic_ccgcode	CCG Code			CCG	clinical commission group																				
GE:ic_ccgname	CCG Name			CCG	clinical commission group																				
GE:ccg_gp_practice	CCG of GP Practice		location|physician/practitioner info	Geographical																					
GE:ccg_residence	CCG of Residence		residence	Geographical																					
GE:ccg_responsibility	CCG of Residence		residence	Geographical																					
GE:ccg_treatment	CCG of Treatment		location	Geographical	CCG where patient was treated																				
GE:cclev2days	cclev2days		history of intensive care	Critical care adult activity data																					
GE:cclev3days	cclev3days		history of intensive care	Critical care adult activity data																					
GE:ccsorcloc	ccsorcloc		history of intensive care	Critical care admission and discharge data	type of location patient in prior to start of critical care (recorvery, imaging, ER, etc.)																				
GE:ccstartdate	ccstartdate		history of intensive care|life stage/time point	Critical care start date	critical care start date																				
GE:ccstarttime	ccstarttime		history of intensive care|life stage/time point	Critical care period of care	time critical care started																				
GE:ccunitfun	ccunitfun			Critical care period of care	principal service provided in ward patient was admitted to for critical care (e.g. cardiac, thoracic, burns, etc.)																				
GE:cdsextdate	CDS extract date			System Data	system data for updates																				
GE:cdsverprotid	CDS protocol identifier		unique identifiers	System Data	system data SUS																				
GE:sender	CDS sender identity			System Data																					
GE:cdsversion	CDS version number			System Data	system data SUS																				
GE:oacode6	Census output area, 2001 (6 character ward identifier)			Geographical																					
GE:oacode01	Census Output Area, 2011			Geographical																					
GE:oacode11	Census Output Area, 2011			Geographical																					
GE:chemo_radiation	chemo_radiation		use of anti-cancer drugs|history of radiation treatment																						
GE:circulation	Circulation			Indicators	leg pain due to poor circulation																				
GE:clinical	Clinical		Genomics England																						
GE:clinical_diagnoses	Clinical Diagnosis		Genomics England		might this also include non-disease diagnoses, e.g. trauma																				
GE:clinical_investigations	Clinical Investigations		Genomics England		investigations made at the ER (broad)																				
GE:clinical_treatments	Clinical Treatments		Genomics England		treatments made at the ER (broad) - either pharmaceutical or non-pharmaceutical																				
GE:clinical_trial	clinical_trial		Genomics England		is patient part of clinical trial																				
GE:clinical_period_of_care	Clinical; Period of Care		Genomics England																						
GE:gpprac	Code of GP practice			Practitioner|Geographical|Practitioner data																					
GE:reggmp	Code of patient‚Äôs registered or referring general medical practitioner			Appointments|Practitioner data																					
GE:purcode	Commissioner code			Organisation	code of organization comissioning patient's care																				
GE:purval	Commissioner code status			Organisation	if commissioner's code is recognized by NHS																				
GE:purro	Commissioner‚Äôs Regional Office			Organisation	location of commissioner																				
GE:purstha	Commissioner‚Äôs Strategic Health Authority			Organisation	location of commissioner (SHA)																				
GE:commissioning_organisation	Commissioning Organisation		Genomics England																						
GE:ic_pctcode	Commissioning Organisation Code			Commissioning Organisation																					
GE:ic_pctname	Commissioning Organisation Name			Commissioning Organisation																					
GE:cr_gp_practice	Commissioning Region of GP Practice		location	Geographical																					
GE:cr_residence	Commissioning Region of Residence		residence	Geographical																					
GE:cr_treatment	Commissioning Region of Treatment		location	Geographical																					
GE:csnum	Commissioning serial number			Organisation	identifies an NHS service agreement																				
GE:comorbidity_adjustment	comorbidity_adjustment		prescription		if patient's physical state was significant in deciding type of anti-cacer drugs																				
GE:complete	Complete			Indicators	indicator if Q1 and Q2 are complete																				
GE:concltime	Conclusion time			Attendances																					
GE:consult	Consultant code		physician/practitioner info	Practitioner																					
GE:consultant_speciality_code	consultant_speciality_code		physician/practitioner info		provider specialty code for cancer treatment																				
GE:diag_count	Count of diagnoses			Diagnosis	disease or trauma																				
GE:opertn_count	Count of procedures		surgical interventions	Clinical																					
GE:rescty	County of residence		residence	Geographical|Appointments																					
GE:rescty_ons	County of residence (ONS)		residence	Geographical																					
GE:critical_care_admission_and_discharge_data	Critical care admission and discharge data		history of intensive care																						
GE:critical_care_adult_activity_data	Critical care adult activity data		history of intensive care		critical care == life support ?																				
GE:critical_care_adult_admission_and_discharge_data	Critical care adult admission and discharge data		history of intensive care																						
GE:critical_care_period_of_care	Critical care period of care		history of intensive care																						
GE:critical_care_start_date	Critical care start date		history of intensive care																						
GE:currward	Current electoral ward		residence	Geographical																					
GE:currward_ons	Current electoral ward (ONS)		residence	Geographical																					
GE:cycle_number	cycle_number		use of anti-cancer drugs																						
GE:detndate	Date detention commenced		mental and behaviour disorders|life stage/time point	Psychiatric	when detention started (psychiatric)																				
GE:epiend	Date episode ended		life stage/time point	Episodes and spells; Period of care																					
GE:epistart	Date episode started		life stage/time point	Episodes and spells; Period of care																					
GE:admidate	Date of admission		life stage/time point	Admissions; Period of Care																					
GE:dob	Date of birth - patient		age/birthdate	Patient Data|Appointments																					
GE:elecdate	Date of decision to admit		life stage/time point	Admissions; Period of Care	date and time-related or timeline?																				
GE:disdate	Date of discharge		life stage/time point	Discharges; Period of Care																					
GE:opdate_01	Date of procedure		surgical interventions	Clinical																					
GE:date_decision_to_treat	date_decision_to_treat		life stage/time point																						
GE:date_of_birth	date_of_birth		age/birthdate																						
GE:date_of_death	date_of_death		life stage/time point																						
GE:date_of_final_treatment	date_of_final_treatment		use of anti-cancer drugs																						
GE:date_of_registration	date_of_registration		Genomics England		maybe time point?																				
GE:waiting	Days waiting			Patient Pathway																					
GE:delplac_1	Delivery place (actual)		pregnancy history|location	Maternity																					
GE:delinten	Delivery place (intended)		pregnancy history|location	Maternity																					
GE:delchang	Delivery place change reason			Maternity	why delivery place was changed																				
GE:delmeth_2	delmeth_2		pregnancy history	Maternity																					
GE:delmeth_3	delmeth_3		pregnancy history	Maternity																					
GE:delmeth_4	delmeth_4		pregnancy history	Maternity																					
GE:delmeth_5	delmeth_5		pregnancy history	Maternity																					
GE:delmeth_6	delmeth_6		pregnancy history	Maternity																					
GE:delmeth_7	delmeth_7		pregnancy history	Maternity																					
GE:delmeth_8	delmeth_8		pregnancy history	Maternity																					
GE:delmeth_9	delmeth_9		pregnancy history	Maternity																					
GE:delmeth_d	delmeth_d		pregnancy history																						
GE:delplac_2	delplac_2			Maternity																					
GE:delplac_3	delplac_3			Maternity																					
GE:delplac_4	delplac_4			Maternity																					
GE:delplac_5	delplac_5			Maternity																					
GE:delplac_6	delplac_6			Maternity																					
GE:delplac_7	delplac_7			Maternity																					
GE:delplac_8	delplac_8			Maternity																					
GE:delplac_9	delplac_9			Maternity																					
GE:delstat_2	delstat_2		physician/practitioner info	Maternity																					
GE:delstat_3	delstat_3		physician/practitioner info	Maternity																					
GE:delstat_4	delstat_4		physician/practitioner info	Maternity																					
GE:delstat_5	delstat_5		physician/practitioner info	Maternity																					
GE:delstat_6	delstat_6		physician/practitioner info	Maternity																					
GE:delstat_7	delstat_7		physician/practitioner info	Maternity																					
GE:delstat_8	delstat_8		physician/practitioner info	Maternity																					
GE:delstat_9	delstat_9		physician/practitioner info	Maternity																					
GE:aedepttype	Department type			Attendances																					
GE:deptime	Departure time			Attendances																					
GE:depdays_2	depdays_2			Augmented/critical care period																					
GE:depdays_3	depdays_3			Augmented/critical care period																					
GE:depdays_4	depdays_4			Augmented/critical care period																					
GE:depdays_5	depdays_5			Augmented/critical care period																					
GE:depdays_6	depdays_6			Augmented/critical care period																					
GE:depdays_7	depdays_7			Augmented/critical care period																					
GE:depdays_8	depdays_8			Augmented/critical care period																					
GE:depdays_9	depdays_9			Augmented/critical care period																					
GE:depression	Depression		diagnosis of depression	Indicators																					
GE:dermsupdays	dermsupdays		history of dermatological support	Critical care adult activity data																					
GE:disdest	Destination on discharge			Discharges; Period of Care																					
GE:diabetes	Diabetes		diagnosis of diabetes	Indicators																					
GE:diag_02	diag_02			Clinical|Clinical diagnoses	disease or trauma																				
GE:diag_03	diag_03			Clinical|Clinical diagnoses																					
GE:diag_04	diag_04			Clinical|Clinical diagnoses																					
GE:diag_05	diag_05			Clinical|Clinical diagnoses																					
GE:diag_06	diag_06			Clinical|Clinical diagnoses																					
GE:diag_07	diag_07			Clinical|Clinical diagnoses																					
GE:diag_08	diag_08			Clinical|Clinical diagnoses																					
GE:diag_09	diag_09			Clinical|Clinical diagnoses																					
GE:diag_10	diag_10			Clinical|Clinical diagnoses																					
GE:diag_11	diag_11			Clinical|Clinical diagnoses																					
GE:diag_12	diag_12			Clinical|Clinical diagnoses																					
GE:diag_13	diag_13			Clinical	should be under Clinical diagnoses - this can be disease or trauma																				
GE:diag_14	diag_14			Clinical																					
GE:diag_15	diag_15			Clinical																					
GE:diag_16	diag_16			Clinical																					
GE:diag_17	diag_17			Clinical																					
GE:diag_18	diag_18			Clinical																					
GE:diag_19	diag_19			Clinical																					
GE:diag_20	diag_20			Clinical																					
GE:diag2_02	diag2_02			Clinical diagnoses																					
GE:diag2_03	diag2_03			Clinical diagnoses																					
GE:diag2_04	diag2_04			Clinical diagnoses																					
GE:diag2_05	diag2_05			Clinical diagnoses																					
GE:diag2_06	diag2_06			Clinical diagnoses																					
GE:diag2_07	diag2_07			Clinical diagnoses																					
GE:diag2_08	diag2_08			Clinical diagnoses																					
GE:diag2_09	diag2_09			Clinical diagnoses																					
GE:diag2_10	diag2_10			Clinical diagnoses																					
GE:diag2_11	diag2_11			Clinical diagnoses																					
GE:diag2_12	diag2_12			Clinical diagnoses																					
GE:diaga_02	diaga_02			Clinical Diagnoses																					
GE:diaga_03	diaga_03			Clinical Diagnoses																					
GE:diaga_04	diaga_04			Clinical Diagnoses																					
GE:diaga_05	diaga_05			Clinical Diagnoses																					
GE:diaga_06	diaga_06			Clinical Diagnoses																					
GE:diaga_07	diaga_07			Clinical Diagnoses																					
GE:diaga_08	diaga_08			Clinical Diagnoses																					
GE:diaga_09	diaga_09			Clinical Diagnoses																					
GE:diaga_10	diaga_10			Clinical Diagnoses																					
GE:diaga_11	diaga_11			Clinical Diagnoses																					
GE:diaga_12	diaga_12			Clinical Diagnoses																					
GE:diagnosis	Diagnosis		Genomics England																						
GE:diagscheme	Diagnosis Scheme in Use			Clinical diagnoses	e.g. ICD-10																				
GE:did_date3	Diagnostic Test Date			Diagnostic Test Dates																					
GE:diagnostic_test_dates	Diagnostic Test Dates		Genomics England		could be 'laboratory measures' but this isn't the actual test, just dates so 'timeline' might be better?																				
GE:did_date1	Diagnostic Test Request Date			Diagnostic Test Dates	diagnostic tests could be physiological measurements or laboratory measures																				
GE:did_date2	Diagnostic Test Request Received Date			Diagnostic Test Dates																					
GE:diags_02	diags_02			Clinical Diagnoses																					
GE:diags_03	diags_03			Clinical Diagnoses																					
GE:diags_04	diags_04			Clinical Diagnoses																					
GE:diags_05	diags_05			Clinical Diagnoses																					
GE:diags_06	diags_06			Clinical Diagnoses																					
GE:diags_07	diags_07			Clinical Diagnoses																					
GE:diags_08	diags_08			Clinical Diagnoses																					
GE:diags_09	diags_09			Clinical Diagnoses																					
GE:diags_10	diags_10			Clinical Diagnoses																					
GE:diags_11	diags_11			Clinical Diagnoses																					
GE:diags_12	diags_12			Clinical Diagnoses																					
GE:did_snomedct_code	did_snomedct_code		Genomics England																						
GE:disreadydate	Discharge ready date		life stage/time point	Discharges; Period of Care																					
GE:discharges_period_of_care	Discharges; Period of Care		Genomics England																						
GE:drug_group	drug_group		use of anti-cancer drugs																						
GE:cendur	Duration of care to psychiatric census date		mental and behaviour disorders|life stage/time point	Psychiatric	period of time from admission date to psychiatric census																				
GE:detdur	Duration of detention		mental and behaviour disorders|life stage/time point	Psychiatric	days between detention and psychiatric cesus																				
GE:elecdur	Duration of elective wait (submitted)		life stage/time point	Admissions; Period of Care	date decided to admit -> actual admission date for elective admission - date and time-related or timeline?																				
GE:speldur	Duration of spell			Episodes and spells; Period of care																					
GE:waitdays	Duration of wait (referral to treatment period)			Patient Pathway|Appointments																					
GE:initdur	Duration to assessment			Attendances																					
GE:concldur	Duration to conclusion			Attendances																					
GE:depdur	Duration to departure			Attendances																					
GE:tretdur	Duration to treatment			Attendances																					
GE:earldatoff	Earliest reasonable date offered			Patient Pathway	earliest date for appointment or admission - date and time-related or timeline?																				
GE:ic_cancer_desc	Early cancer diagnosis		oncological	Cancer diagnosis																					
GE:ward91	Electoral ward in 1991			Geographical																					
GE:ward98	Electoral ward in 1998			Geographical																					
GE:spelend	End of spell indicator			Episodes and spells; Period of care																					
GE:epidur	Episode duration		life stage/time point	Episodes and spells; Period of care																					
GE:episode_match_rank	EPISODE MATCH RANK			Administrative																					
GE:epiorder	Episode order			Episodes and spells; Period of care	transfer to care of another consultant increases number of episode (1,2,3,4...)																				
GE:epistat	Episode status			Episodes and spells; Period of care	was episode still occurring on Mar 31 (end of year)? date or timeline?																				
GE:epitype	Episode type			Episodes and spells; Period of care	general, delivery, birth, detained under mental health legisation or long-term psych patient, other deliver, other birth																				
