ID	Field Label	Class Type	GECKO Label	Comment																					
VZ:TBSymptDur	Duration of the TB symptoms(weeks)		signs and symptoms	may be too broad but I don't know if it makes sense to make a 'TB symptoms' term																					
VZ:HighAsthmaInformedEver	High Asthma InformededEver		diagnosis of asthma																						
VZ:HighAsthmaInformed12mo	Been told of high Asthma		diagnosis of asthma																						
VZ:HighhAsthmaTx2wks	Taken any medication for asthma/COPD prescribed by a doctor or other health worker		history of medication for chronic obstructive pulmonary disease|history of medication for asthma																						
VZ:BreathShortness	Shortness of breath after exercise or physical activity		occurrence of exertional dyspnea																						
VZ:WakeUpBreathShortness	Wake up at night because of difficulties in breathing/shortness of breath		occurrence of dyspnea																						
VZ:NightWheezing	NightWheezing		occurrence of wheezing																						
VZ:ReceivedHIVTestResult	Received HIV Test Result		Vukuzazi																						
VZ:HadPosHIVResult	Had Positive HIV Result		diagnosis of HIV																						
VZ:CurrentlyOnART	Currently On ART Treatment		history of medication for HIV																						
VZ:ARTDefault	Ever Defaulted ART treatment		history of medication for HIV																						
VZ:ConcurrMed1Curr	Taking Concurrent Medication 1		medication history	not sure if we can be more specific on these																					
VZ:ConcurrMed2Curr	Taking Concurrent Medication 2		medication history																						
VZ:ConcurrMed3Curr	Taking Concurrent Medication 3		medication history																						
VZ:ConcurrMed4Curr	Taking Concurrent Medication 4		medication history																						
VZ:ConcurrMed2Adher	Adherence Concurrent Medication 2		medication history																						
VZ:ConcurrMed3Adher	Adherence Concurrent Medication 3		medication history																						
VZ:ConcurrMed4Adher	Adherence Concurrent Medication 4		medication history																						
VZ:ConcurrMed5Adher	Adherence Concurrent Medication 5		medication history																						
VZ:ConcurrMed1Stopped	Stopped Concurrent Medication 1		medication history																						
VZ:ConcurrMed2Stopped	Stopped Concurrent Medication 2		medication history																						
VZ:ConcurrMed3Stopped	Stopped Concurrent Medication 3		medication history																						
VZ:ConcurrMed4Stopped	Stopped Concurrent Medication 4		medication history																						
VZ:ConcurrMed5Stopped	Stopped Concurrent Medication 5		medication history																						
VZ:IsPregant	Is Pregant		pregnancy history																						
VZ:AllComplete	All Complete		Vukuzazi																						
VZ:CxrScreeningResult	Chest X Ray Screening Result		X-ray imaging result																						
VZ:ReferalBasisCxr	Chest X Referal Basis		X-ray imaging result																						
VZ:CXRScore	Chest X Ray Score		X-ray imaging result																						
VZ:SputumReferral	Sputum Referral		Vukuzazi																						
VZ:CxrMOConclusion	Chest X Ray Medical Officer Conclusion		X-ray imaging result																						
VZ:CxrMODiagnosticOther	Chest X Ray Medical Officer Diagnostic Other		X-ray imaging result																						
VZ:CxrMOReport	Chest X Ray Medical Officer Report		X-ray imaging result																						
VZ:CxrRadiologistDiagnosticOther	Chest X Ray Radiologist Diagnostic Other		X-ray imaging result																						
VZ:CxrRadiologistReport	Chest X Ray Radiologist Report		X-ray imaging result																						
VZ:HIVElisaReview	HIV Elisa Medical Officer Review		diagnosis of HIV																						
VZ:CD4Review	CD4 Medical Officer Review		blood lymphocyte count value																						
VZ:VLReview	Viral Load Medical Officer Review		diagnosis of HIV																						
VZ:GeneXpertReview	GeneXpert Medical Officer Review		diagnosis of tuberculosis	TB test review																					
VZ:RifampicinReview	Rifampicin Medical Officer Review		Vukuzazi	not a diagnosis necessarily?																					
VZ:LiquidCultureReview	LiquidCulture Medical Officer Review		diagnosis of tuberculosis	TB test review																					
VZ:SolidCultureReview	SolidCulture Medical Officer Review		diagnosis of tuberculosis	TB test review																					
VZ:HBA1CPercentReview	HBA1CPercent Medical Officer Review		blood hemoglobin A1c level value																						
VZ:CXRInterpretation	Medical Officer CXR Interpretation		X-ray imaging result																						
VZ:CXRInterpretationDesc	Medical Officer CXR Interpretation Description		X-ray imaging result																						
VZ:MOSuggestedOutcome	Medical Officer Suggested Outcome		Vukuzazi																						
VZ:MOFinalOutcome	Medical Officer Final Outcome		Vukuzazi																						
VZ:MOSuggestedSecondRoundOutcome	Medical Officer Suggested Second Outcome		Vukuzazi																						
VZ:MOSecondRoundOutcome	Medical Officer Second Round Final Outcome		Vukuzazi																						
VZ:DiabetesMessage	Medical Officer Diabetes Message		diagnosis of diabetes																						
VZ:HIVMessage	Medical Officer HIV Message		diagnosis of HIV																						
VZ:CxrMessage	Medical Officer Chest X-Ray Message		X-ray imaging result																						
VZ:SecondRoundMessage	Medical Officer Second Round Message		Vukuzazi																						
VZ:MOSecondRoundMessage	System Algorythm Flaged Conditions		Vukuzazi																						
VZ:MOAgreeSecondRoundMessage	Medical Officer Agreement with System Generated Message		Vukuzazi																						
VZ:MOOutcomeDesc	Medical Officer Outcome Description		Vukuzazi																						
VZ:MOSuggestedSecondCondition	Medical Officer Suggested Second Condition		Vukuzazi																						
VZ:MOAgreeSecondRoundOutcome	Medical Officer Agreement with Second Outcome		Vukuzazi																						
VZ:MOSecondRoundOutcomeDesc	Medical Officer Outcome Description		Vukuzazi																						
VZ:MOConditions	Medical Officer Conditions		Vukuzazi																						
VZ:BPReferallFU	BP Referral from Follow up Visit		occurrence of high blood pressure																						
VZ:DiabetesReferallFU	Diabetes Referral from Follow up Visit		diagnosis of diabetes																						
VZ:HIVReferallFU	HIV Referral from Follow up Visit		diagnosis of HIV																						
VZ:TBReferallFU	TB Referral from Follow up Visit		diagnosis of tuberculosis																						
VZ:InducedTBSputumHome	Homestead Induced TB Sputum Collected		sputum sample collected																						
VZ:SpontTBSputumHome	Homestead Spontatneous TB Sputum Collected		sputum sample collected																						
VZ:HomeTBSputumOutcome	Home TB Sputum Outcomeollected		sputum sample collected																						
VZ:FUGlucose	Follow Up Glucose		blood glucose level value																						
VZ:FUGlucoseResult	Follow Up Glucose Result		blood glucose level value																						
VZ:FUDiabetesDiagnosis	FUDiabetesDiagnosis		diagnosis of diabetes																						
VZ:FUDiabetesClinicDate	Follow Up Target Clinic/Hospital Date for Diabetes		diagnosis of diabetes																						
VZ:FUSystolicBp	Clinical Systolic Blood pressure reading		systolic blood pressure value																						
VZ:FUDiastolicBp	Clinical Diastolic Blood pressure reading		diastolic blood pressure value																						
VZ:FUBpDiagnosis	FUBpDiagnosis		occurrence of high blood pressure																						
VZ:FUTBpClinicDate	Follow Up Target Clinic/Hospital for Blood Pressure		occurrence of high blood pressure																						
VZ:FUHIVStatusInformed	Follow Up Target Clinic/Hospital Date		diagnosis of HIV																						
VZ:SST1Collected	SST1 Collected		Vukuzazi																						
VZ:SST1NotCollectedReason	SST1 Not Collected Reason		Vukuzazi																						
VZ:EDT1Collected	EDT1 Collected		Vukuzazi																						
VZ:EDT1NotCollectedReason	EDT1 Not Collected Reasonn		Vukuzazi																						
VZ:EDT2Collected	EDT2 Collected		Vukuzazi																						
VZ:EDT2NotCollectedReason	EDT2 Not Collected Reasonn		Vukuzazi																						
VZ:EDT3_1Collected	EDT3_1 Collected		Vukuzazi																						
VZ:EDT3_1NotCollectedReason	EDT3_1 Not Collected Reasonn		Vukuzazi																						
VZ:EDT3_2Collected	EDT3_2 Collected		Vukuzazi																						
VZ:EDT3_2NotCollectedReason	EDT3_2 Not Collected Reasonn		Vukuzazi																						
VZ:PAX1Collected	PAX1 Collected		Vukuzazi																						
VZ:PAX1NotCollectedReason	PAX1 Not Collected Reason		Vukuzazi																						
VZ:Ssp1Collected	Ssp1 Collected		sputum sample collected																						
VZ:SpontaneousSputumObtained	Spontaneous Sputum Obtained		sputum sample collected																						
VZ:SpontaneousSputumNotObtainedReason	Spontaneous Sputum Not Obtained Reason		sputum sample collected																						
VZ:InducedSputumObtained	Induced Sputum Obtained		sputum sample collected																						
VZ:InducedSputumNotObtainedReason	Induced Sputum Not Obtained Reason		sputum sample collected																						
VZ:SSPBottleCollected	SSP Bottle Collected		sputum sample collected																						
VZ:InducedSputumNotObtainedOtherReasonExplain	Induced Sputum Not Obtained Other Reason Explain		sputum sample collected																						
VZ:SwabSample1Collected	Swab Sample1 Collected		saliva																						
VZ:SwabSample1NotCollectedReason	Swab Sample1 Not Collected Reason		saliva																						
VZ:SwabSample2Collected	Swab Sample2 Collected		saliva																						
VZ:SwabSample2NotCollectedReason	Swab Sample2 Not Collected Reason		saliva																						
VZ:UrineSampleCollected	Urine Sample Collected		urine																						
VZ:UrineSampleNotCollectedReason	Urine Sample Not Collected Reason		urine																						
VZ:UrineSampleCollected	Urine Sample Collected		urine																						
VZ:UrineSampleNotCollectedReason	Urine Sample Not Collected Reason		urine																						
VZ:PregTestResult	pregnancy Test Result		pregnancy history																						
VZ:PregTestResultNotified	pregnancy Test Result Notified		pregnancy history																						
VZ:BloodGlucoseFailFU	Failed to measure Blood Glucose at Home Follow Up visit		blood glucose level value	more about adherence?																					
VZ:BPFailFU	Failed to measure Blood Pressure at Home Follow Up visit		blood pressure measurement value	more about adherence?																					
VZ:NewHIVReferralFailFU	Failed to refer New HIV Positive case to Clinic at Home Follow Up visit		Vukuzazi																						
VZ:CD4LabStatus	CD4 quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:CD4LabComment	CD4 quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:HIVELisaLabStatus	HIV ELISA quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:HIVELisaLabComment	HIV ELISA quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:VLLabStatus	VL quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:VLLabComment	VL quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:HbA1LabStatus	Hb A1c quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:HbA1LabComment	Hb A1c quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:GeneXpertLabStatus	Gene Xpert quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:GeneXpertLabComment	Gene Xpert quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:MGITCultureLabStatus	MGIT culture quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:MGITCultureLabComment	MGIT culture quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:SolidCultureLabStatus	Solid culture quantity not sufficient, specimen missing, or unable to run		Vukuzazi																						
VZ:SolidCultureLabComment	Solid culture quantity not sufficient, specimen missing, or unable to run comment		Vukuzazi																						
VZ:PhoneCallFail	Phone Call Attempts failed to contact Participant		Vukuzazi																						
VZ:HomeVisitFail	Home Visit Attempts failed to contact Participant		Vukuzazi																						
VZ:SputumPosRefFail	Failed to refer Positive Sputum case to Clinic or Hospital		Vukuzazi																						
VZ:ConsentInformedHIV	Has the participant consented to be informed about their HIV results		Vukuzazi																						
VZ:FUCXROtherReferral	Participant Has Diagnosis Other than TB that requires referral to the clinic or hospital		diseases																						
VZ:CancerType	Cancer Type		clinical history of cancer																						
VZ:AgeStartedSmoking	Age Started Smoking Tobacco		tobacco																						
VZ:YearsAgoStartedSmoking	Years Ago Individual Started Smoking		tobacco																						
VZ:MonthsAgoStartedSmoking	Months Ago Individual Started Smoking		tobacco																						
VZ:WeeksAgoStartedSmoking	Weeks Ago Individual Started Smoking		tobacco																						
VZ:ManufacturedCigarettesDaily	Manufactured Cigarettes Smoked Daily		tobacco																						
VZ:ManufacturedCigarettesWeekly	Manufactured Cigarettes Smoked Weekly		tobacco																						
VZ:HandRolledCigarettesDaily	Hand Rolled Cigarettes Smoked Daily		tobacco																						
VZ:HandRolledCigarettesWeekly	Hand Rolled Cigarettes Smoked Weekly		tobacco																						
VZ:PipedTobaccoDaily	Piped Tobacco Cigarettes Smoked Daily		tobacco																						
VZ:PipedTobaccoWeekly	Piped Tobacco Cigarettes Smoked Weekly		tobacco																						
VZ:PipedTobaccoWeekly	Piped Tobacco Cigarettes Smoked Weekly		tobacco																						
VZ:CigarsRcherootsDaily	Cigars or Cheroots Daily		tobacco																						
VZ:CigarsORcherootsWeekly	Cigars or Cheroots Smoked Weekly		tobacco																						
VZ:ShishaSessionsDaily	Cigars or Cheroots Smoked Daily		tobacco																						
VZ:ShishaSessionsWeekly	Cigars or Cheroots Smoked Weekly		tobacco																						
VZ:OtherTobaccoSpecifyDaily	Other Tobacco Smoked Daily		tobacco																						
VZ:OtherTobaccoWeekly	Other Tobacco Smoked Weekly		tobacco																						
VZ:OtherTobaccoSpecifyDailySpec	Other Tobacco Specify Daily		tobacco																						
VZ:OtherTobaccoWeeklySpec	Other Tobacco Specify Weekly		tobacco																						
VZ:ConsumptionFrequency	Alcohol Consumption Frequency		alcohol																						
VZ:ConsumedAlcoholOccassions	Occassions Consumed Alcohol		alcohol																						
VZ:DrinksConsumedOccassions	Drinks Consumed During Occassion		alcohol																						
VZ:DrinksPerOccassion	Drinks Per Occassion		alcohol																						
VZ:SixDrinksPerOccassion	Six Drinks Per Occassion or More Consumed		alcohol																						
VZ:LastWeekMondayDrinks	Last Week Monday Drinks		alcohol																						
VZ:LastWeekTuesdayDrinks	Last Week Tuesday Drinks		alcohol																						
VZ:LastWeekWednesdayDrinks	Last Week Wednesday Drinks		alcohol																						
VZ:LastWeekThursdayDrinks	Last Week Thursday Drinks		alcohol																						
VZ:LastWeekFridayDrinks	Last Week Friday Drinks		alcohol																						
VZ:LastWeekSaturdayDrinks	Last Week Saturday Drinks		alcohol																						
VZ:LastWeekSundayDrinks	Last Week Sunday Drinks		alcohol																						
VZ:ConsumedHomeBredAlcohol	Consumed Home Bred Alcohol		alcohol																						
VZ:NumberHomeBredSpirits	Number Home Bred Spirits		alcohol																						
VZ:NumberHomeBredBeer	Number Home Bred Beer		alcohol																						
VZ:NumberAlcoholImported	Number Alcohol Imported		alcohol																						
VZ:NumberAlcoholForbidden	Number Alcohol Forbidden		alcohol																						
VZ:NumberAlcoholUntaxed	Number of Alcohol Untaxed		alcohol																						
VZ:NumberTBTxEver	Number of Times On TB Treatment		history of medication for tuberculosis																						
VZ:LastTBDateCompletion	TB Completion Date		history of medication for tuberculosis																						
VZ:CoughDuration	Cough Duration		occurrence of cough																						
VZ:CoughSputum	Cough Sputum		sputum sample collected																						
VZ:FeverDuration	Fever Duration		occurrence of fever																						
VZ:NightSweatsDuration	Night Sweats Duration		occurrence of night sweats																						
VZ:WeightLossNumber	Weight Loss Number		occurrence of weight loss																						
VZ:HIVPosResult1stDate	Date of First HIV Positive Result		diagnosis of HIV																						
VZ:ARTInitiationDate	Date Of ART Initiation		history of medication for HIV																						
VZ:ARTDefaultTimes	Number of Times ART Defaulted		history of medication for HIV																						
VZ:LastHIVNegResultDate	Date of Last HIV Negative Result		diagnosis of HIV																						
VZ:Medication1	Medication 1		medication history																						
VZ:Medication2	Medication 2		medication history																						
VZ:Medication3	Medication 3		medication history																						
VZ:Medication4	Medication 4		medication history																						
VZ:Medication5	Medication 5		medication history																						
VZ:Medication6	Medication 6		medication history																						
VZ:Medication7	Medication 7		medication history																						
VZ:Medication8	Medication 8		medication history																						
VZ:Medication1StartDate	Medication 1 Start Date		medication history																						
VZ:Medication2StartDate	Medication 2 Start Date		medication history																						
VZ:Medication3StartDate	Medication 3 Start Date		medication history																						
VZ:Medication4StartDate	Medication 4 Start Date		medication history																						
VZ:Medication5StartDate	Medication 5 Start Date		medication history																						
VZ:Medication6StartDate	Medication 6 Start Date		medication history																						
VZ:Medication7StartDate	Medication 7 Start Date		medication history																						
VZ:Medication8StartDate	Medication 8 Start Date		medication history																						
VZ:Medication9StartDate	Medication 9 Start Date		medication history																						
VZ:ConcurrMed1	Concurrent Medication 1		medication history																						
VZ:ConcurrMed2	Concurrent Medication 2		medication history																						
VZ:ConcurrMed3	Concurrent Medication 3		medication history																						
VZ:ConcurrMed4	Concurrent Medication 4		medication history																						
VZ:ConcurrMed5	Concurrent Medication 5		medication history																						
VZ:ConcurrMedIndica1	Concurrent Medication Indication 1		medication history																						
VZ:ConcurrMedIndica2	Concurrent Medication Indication 2		medication history																						
VZ:ConcurrMedIndica3	Concurrent Medication Indication 3		medication history																						
VZ:ConcurrMedIndica4	Concurrent Medication Indication 4		medication history																						
VZ:ConcurrMedIndica5	Concurrent Medication Indication 5		medication history																						
VZ:ConcurrMed1StartDate	Concurrent Medication 1 Start Date		medication history																						
VZ:ConcurrMed2StartDate	Concurrent Medication 2 Start Date		medication history																						
VZ:ConcurrMed3StartDate	Concurrent Medication 3 Start Date		medication history																						
VZ:ConcurrMed4StartDate	Concurrent Medication 4 Start Date		medication history																						
VZ:ConcurrMed5StartDate	Concurrent Medication 5 Start Date		medication history																						
VZ:ConcurrMed5Curr	Taking Concurrent Medication 5		medication history																						
VZ:ConcurrMed1Adher	Adherence Concurrent Medication 1		medication history																						
VZ:TimeLastMeal	Time Last Meal		information about diet																						
VZ:LastMenstrualDate	Date of Last Menstrual		menstrual cycle history																						
VZ:FoodVoucherId	Food Voucher Id		information about diet																						
VZ:FoodPackId	Food Pack Id		information about diet																						
VZ:NotAllCompleteReaons	Not All Complete Reasons		Vukuzazi																						
VZ:SST1	SST1		Vukuzazi																						
VZ:EDT1	EDT1		Vukuzazi																						
VZ:EDT2	EDT2		Vukuzazi																						
VZ:EDT3_1	EDT3_1		Vukuzazi																						
VZ:EDT3_2	EDT3_2		Vukuzazi																						
VZ:PAX1	PAX1		Vukuzazi																						
VZ:Ssp1	Ssp1		sputum sample collected																						
VZ:SSPBottle	SSPBottle		sputum sample collected																						
VZ:SwabSample1CollectedId	Swab Sample1 Collected Id		saliva																						
VZ:SwabSample2CollectedId	Swab Sample2 Collected Id		saliva																						
VZ:UrineSampleCollectedId	Urine Sample Collected Id		urine																						
VZ:UrineSampleCollectedId	Urine Sample Collected Id		urine																						
VZ:PregTestDeviceId	pregnancy Test Device Id		pregnancy history																						
VZ:CxrRadiologistConclusion	Chest X Ray Radiologist Conclusion		X-ray imaging result																						
VZ:MOLungField	Medical Officer LungFields		Vukuzazi	is this part of X-ray?																					
VZ:RadiologistLungField	Radiologist LungFields		Vukuzazi	is this part of X-ray?																					
VZ:UrineRefusal	Refused Urine Sample COllection		urine																						
VZ:HeightCm	Height in Cm		height																						
VZ:WeightKg	Weight in Kg		weight																						
VZ:WaistCircumferenceCm	Waist Circumference in Cm		waist circumference value																						
VZ:BPCuffSize	BP Cuff Size		Vukuzazi	administrative?																					
VZ:BPFirstSystolic	BP First Systolic		systolic blood pressure value																						
VZ:BPFirstDiastolic	BP First Diastolic		diastolic blood pressure value																						
VZ:BPSecondSystolic	BP Second Systolic		systolic blood pressure value																						
VZ:BPSecondDiastolic	BP Second Diastolic		diastolic blood pressure value																						
VZ:BPThirdSystolic	BP Third Systolic		systolic blood pressure value																						
VZ:BPThirdDiastolic	BP Third Diastolic		diastolic blood pressure value																						
VZ:BPForthSystolic	BP Forth Systolic		systolic blood pressure value																						
VZ:BPForthDiastolic	BP Forth Diastolic		diastolic blood pressure value																						
VZ:LowestBpSystolic	BP Lowest Systolic		systolic blood pressure value																						
VZ:LowestBpDiastolic	BP Lowest Diastolic		diastolic blood pressure value																						
VZ:HipCircumference	Hip Circumference		hip circumference value																						
VZ:ArmCircumference	Arm Circumference		arm circumference value																						
VZ:HeartRateFirstReading	Heart Rate First Reading		heart rate																						
VZ:HeartRateSecondReading	Heart Rate Second Reading		heart rate																						
VZ:HeartRateThirdReading	Heart RateThird Reading		heart rate																						
VZ:HeartRateForthReading	Heart Rate Forth Reading		heart rate																						
VZ:Pregnant	Pregnant		pregnancy history																						
VZ:ActiveTB	CXR proposed diagnostic-ActiveTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:OldTB	CXR proposed diagnostic-OldTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:ProbableTB	CXR proposed diagnostic-ProbableTB		X-ray imaging result|diagnosis of tuberculosis																						
VZ:OtherInfection	CXR proposed diagnostic-OtherInfection		X-ray imaging result|diagnosis of bacterial infection																						
VZ:InflammatoryDisorder	CXR proposed diagnostic-InflammatoryDisorder		X-ray imaging result|diagnosis of inflammatory disorder																						
VZ:Neoplasm	CXR proposed diagnostic-Neoplasm		X-ray imaging result	oncological?																					
VZ:Trauma	CXR proposed diagnostic-Trauma		X-ray imaging result																						
VZ:CongenitalAbnormality	CXR proposed diagnostic-CongenitalAbnormality		X-ray imaging result																						
VZ:CardiacDisorder	CXR proposed diagnostic-CardiacDisorder		X-ray imaging result|circulatory system																						
VZ:VascularDisorder	CXR proposed diagnostic-VascularDisorder		X-ray imaging result|circulatory system																						
VZ:DegenerativeDisorder	CXR proposed diagnostic-DegenerativeDisorder		X-ray imaging result																						
VZ:LeftLung	CXR pattern Left lung field & pleura		X-ray imaging result																						
VZ:RightLung	CXR pattern Right lung field & pleura		X-ray imaging result																						
VZ:TBDiagnosticOther	TB Diagnostic Other		diagnosis of tuberculosis																						
VZ:MOTBDiagnosticOther	Medical Officer Diagnostic TB Diagnostic Other		diagnosis of tuberculosis																						
VZ:RadLeftLungNormal	Radiologist Left Lung Normal		X-ray imaging result																						
VZ:RadLeftLungConsolid	Radiologist Left Lung Consolidation		X-ray imaging result																						
VZ:RadLeftLungCavitation	Radiologist Left Lung Cavitation		X-ray imaging result																						
VZ:RadLeftLungNodules	Radiologist Left Lung Nodules		X-ray imaging result																						
VZ:RadLeftLungMass	Radiologist Left Lung Mass		X-ray imaging result																						
VZ:RadLeftLungReticular	Radiologist Left Lung ReticularOpacities		X-ray imaging result																						
VZ:RadLeftLungFibrosis	Radiologist Left Lung Fibrosis		X-ray imaging result																						
VZ:RadLeftLungCalcification	Radiologist Left Lung Calcification		X-ray imaging result																						
VZ:RadLeftLungPleuralThick	Radiologist Left Lung Pleural Thickening		X-ray imaging result																						
VZ:RadLeftLungPleuralEffusion	Radiologist Left Lung PleuralEffusion		X-ray imaging result																						
VZ:RadLeftLungNodeEnlarge	Radiologist Left Lung Node Enlargement		X-ray imaging result																						
VZ:RadLeftLungOther	Radiologist Left Lung Other		X-ray imaging result																						
VZ:RadRightLungNormal	Radiologist Right Lung Normal		X-ray imaging result																						
VZ:RadRightLungConsolid	Radiologist Right Lung Consolidation		X-ray imaging result																						
VZ:RadRightLungCavitation	Radiologist Right Lung Cavitation		X-ray imaging result																						
VZ:RadRightLungNodules	Radiologist Right Lung Nodules		X-ray imaging result																						
VZ:RadRightLungMass	Radiologist Right Lung Mass		X-ray imaging result																						
VZ:RadRightLungReticular	Radiologist Right Lung ReticularOpacities		X-ray imaging result																						
VZ:RadRightLungFibrosis	Radiologist Right Lung Fibrosis		X-ray imaging result																						
VZ:RadRightLungCalcification	Radiologist Right Lung Calcification		X-ray imaging result																						
VZ:RadRightLungPleuralThick	Radiologist Right Lung Pleural Thickening		X-ray imaging result																						
VZ:RadRightLungPleuralEffusion	Radiologist Right Lung Pleural Effusion		X-ray imaging result																						
