Field Label	Class Type	GECKO Label	GECKO Comment																			
Mean platelet volume (MPV)	equivalent	mean platelet volume value																				
Platlet crit (PCT)	equivalent	plateletcrit value																				
Vitamin B12	equivalent	blood vitamin B12 level value	ChEBI stops at B vitamin, but FOODON has vitamin B12 - would that be better?																			
25-OH-Vitamin D	equivalent	blood calcidiol level value	I *think* this is the right ChEBI term																			
Thyroglobulin	equivalent	blood thyroglobulin level value																				
Ferritin	equivalent	blood ferritin level value																				
UIBC	equivalent	unsaturated iron binding capacity measurement value																				
Oxidized LDL	subclass	blood low density lipoprotein cholesterol level value	not oxidized																			
8-OHdG	equivalent	blood 8-OHdG level value																				
Calcium(Ca) (Blood)	equivalent	blood calcium level value																				
Free T3	equivalent	blood triiodothyronine level value																				
Free T4	equivalent	blood thyroxine level value																				
TSH	equivalent	blood thyroid stimulating hormone level value																				
Anti-microsomal Ab	equivalent	thyroid peroxidase antibody measurement value																				
RF	equivalent	rheumatoid factor measurement value																				
Osteocalcin	equivalent	blood osteocalcin level value																				
C-telopeptide	equivalent	blood type I collagen C-terminal telopeptide level value																				
Vitamin D	equivalent	blood vitamin D level value																				
Estradiol	equivalent	blood estradiol level value																				
Cadmium(Cd)	equivalent	blood cadmium level value																				
Lead(Pb)	equivalent	blood lead level value	OK to use lead atom?																			
Aluminum(Al)	equivalent	blood aluminum level value	atom or ion?																			
Zinc(Zn)	equivalent	blood zinc level value	OK to use atom?																			
Blood type	equivalent	blood type determination value																				
Hepatitis B antibody	equivalent	Hepatits B antibody measurement value																				
Hepatitis C antibody	equivalent	Hepatits C antibody measurement value																				
Hepatitis A antibody (HAV)	equivalent	Hepatits A antibody measurement value																				
HPV(Human Papillomavirus)	subclass	blood measurement value	there's no such thing as an HPV blood test?																			
Helicobacter pylori	equivalent	Helicobacter pylori antibody measurement value																				
Carcinoembryonic antigen (CEA)	equivalent	carcinoembryonic antigen measurement value																				
Cancer antigen 125 (CA125)	equivalent	cancer antigen 125 measurement value																				
DHEA-S	equivalent	blood dehydroepiandrosterone sulfate level value																				
IGF-1	equivalent	blood insulin-like growth factor I level value																				
Testosterone	equivalent	blood testosterone level value																				
Luteinizing hormone (LH)	equivalent	blood lutenizing hormone level value																				
Follicle Stimulation Hormone (FSH)	equivalent	blood follicle stimulating hormone level value																				
Prostate Specific Antigen (PSA)	equivalent	blood prostate-specific antigen level value																				
Lactate Dehydrogenase (LDH)	equivalent	lactate dehydrogenase measurement value																				
Telomere length	equivalent	blood telomere length value																				
Apo E genotype	equivalent	blood apolipoprotein E level value	Not sure if this is quite right																			
Substudy Urine test	equivalent	urine measurement value																				
Ketone	equivalent	urine ketone body level value																				
Bilirubin	equivalent	urine bilirubin level value																				
Urobilinogen	equivalent	urine urobilinogen level value	NCIT does have a term for this - but have not used NCIT so far																			
Nitrite	equivalent	urine nitrite level value																				
Urinary specific gravity	equivalent	urine specific gravity value																				
Hematuria	equivalent	blood presence in urine value	No check for blood, though HP does have a term for 'blood in urine'. I think looking at the measurement is better here though																			
Color	equivalent	urine color value																				
R.B.C.	equivalent	urine erythrocyte level value	CMO only has RBC for blood samples																			
W.B.C.	equivalent	urine leukocyte level value	CMO only has WBC for blood samples																			
E.P. cells	equivalent	urine epithelial cell level value																				
Casts	equivalent	urine cast level value																				
Bacteria	equivalent	urine bacteria count value	No check for bacteria, though HP does have a term for 'bacteria in urine'. I think looking at the measurement is better here though																			
Crystals	equivalent	presence of crystals in urine value																				
Protein, total	equivalent	urine total protein level value																				
Creatinine (Urine)	equivalent	urine creatinine level value																				
Uric acid	equivalent	urine uric acid level value	CMO only has blood uric acid																			
Calcium (Urine)	equivalent	urine calcium level value																				
Sodium (Urine)	equivalent	urine sodium level value																				
Potassium (Urine)	equivalent	urine potassium level value																				
Vitamin C	equivalent	urine vitamin C level value	no CMO term for vit C levels in urine																			
Microalbumin	equivalent	urine albumin excretion rate value	not sure if the excretion rate assay is the correct match, but this is the only thing I could find																			
