"Short ID","Label","Value"
"VZ:SwabSample1Collected","Swab Sample1 Collected","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SwabSample1NotCollectedReason","Swab Sample1 Not Collected Reason","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SwabSample2Collected","Swab Sample2 Collected","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SwabSample2NotCollectedReason","Swab Sample2 Not Collected Reason","1 = Yes
 2 = No
 3 = Unknown"
"VZ:UrineSampleCollected","Urine Sample Collected","1 = Yes
 2 = No
 3 = Unknown"
"VZ:UrineSampleNotCollectedReason","Urine Sample Not Collected Reason","1 = Yes
 2 = No
 3 = Unknown"
"VZ:UrineSampleCollected","Urine Sample Collected","1 = Yes
 2 = No
 3 = Unknown"
"VZ:UrineSampleNotCollectedReason","Urine Sample Not Collected Reason","1 = Yes
 2 = No
 3 = Unknown"
"VZ:PregTestResult","pregnancy Test Result","1 = Yes
 2 = No
 3 = Unknown"
"VZ:PregTestResultNotified","pregnancy Test Result Notified","1 = Yes
 2 = No
 3 = Unknown"
"VZ:BloodGlucoseFailFU","Failed to measure Blood Glucose at Home Follow Up visit","1 = Yes
 2 = No
 3 = Unknown"
"VZ:BPFailFU","Failed to measure Blood Pressure at Home Follow Up visit","1 = Yes
 2 = No
 3 = Unknown"
"VZ:NewHIVReferralFailFU","Failed to refer New HIV Positive case to Clinic at Home Follow Up visit","1 = Yes
 2 = No
 3 = Unknown"
"VZ:CD4LabStatus","CD4 quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:CD4LabComment","CD4 quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:HIVELisaLabStatus","HIV ELISA quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:HIVELisaLabComment","HIV ELISA quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:VLLabStatus","VL quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:VLLabComment","VL quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:HbA1LabStatus","Hb A1c quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:HbA1LabComment","Hb A1c quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:GeneXpertLabStatus","Gene Xpert quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:GeneXpertLabComment","Gene Xpert quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:MGITCultureLabStatus","MGIT culture quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:MGITCultureLabComment","MGIT culture quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SolidCultureLabStatus","Solid culture quantity not sufficient, specimen missing, or unable to run","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SolidCultureLabComment","Solid culture quantity not sufficient, specimen missing, or unable to run comment","1 = Yes
 2 = No
 3 = Unknown"
"VZ:PhoneCallFail","Phone Call Attempts failed to contact Participant","1 = Yes
 2 = No
 3 = Unknown"
"VZ:HomeVisitFail","Home Visit Attempts failed to contact Participant","1 = Yes
 2 = No
 3 = Unknown"
"VZ:SputumPosRefFail","Failed to refer Positive Sputum case to Clinic or Hospital","1 = Yes
 2 = No
 3 = Unknown"
"VZ:ConsentInformedHIV","Has the participant consented to be informed about their HIV results","1 = Yes
 2 = No
 3 = Unknown"
"VZ:FUCXROtherReferral","Participant Has Diagnosis Other than TB that requires referral to the clinic or hospital","1 = Yes
 2 = No
 3 = Unknown"
"VZ:CancerType","Cancer Type","1 = Non Categorical Variable"
"VZ:AgeStartedSmoking","Age Started Smoking Tobacco","1 = Non Categorical Variable"
"VZ:YearsAgoStartedSmoking","Years Ago Individual Started Smoking","1 = Non Categorical Variable"
"VZ:MonthsAgoStartedSmoking","Months Ago Individual Started Smoking","1 = Non Categorical Variable"
"VZ:WeeksAgoStartedSmoking","Weeks Ago Individual Started Smoking","1 = Non Categorical Variable"
"VZ:ManufacturedCigarettesDaily","Manufactured Cigarettes Smoked Daily","1 = Non Categorical Variable"
"VZ:ManufacturedCigarettesWeekly","Manufactured Cigarettes Smoked Weekly","1 = Non Categorical Variable"
"VZ:HandRolledCigarettesDaily","Hand Rolled Cigarettes Smoked Daily","1 = Non Categorical Variable"
"VZ:HandRolledCigarettesWeekly","Hand Rolled Cigarettes Smoked Weekly","1 = Non Categorical Variable"
"VZ:PipedTobaccoDaily","Piped Tobacco Cigarettes Smoked Daily","1 = Non Categorical Variable"
"VZ:PipedTobaccoWeekly","Piped Tobacco Cigarettes Smoked Weekly","1 = Non Categorical Variable"
"VZ:PipedTobaccoWeekly","Piped Tobacco Cigarettes Smoked Weekly","1 = Non Categorical Variable"
"VZ:CigarsRcherootsDaily","Cigars or Cheroots Daily","1 = Non Categorical Variable"
"VZ:CigarsORcherootsWeekly","Cigars or Cheroots Smoked Weekly","1 = Non Categorical Variable"
"VZ:ShishaSessionsDaily","Cigars or Cheroots Smoked Daily","1 = Non Categorical Variable"
"VZ:ShishaSessionsWeekly","Cigars or Cheroots Smoked Weekly","1 = Non Categorical Variable"
"VZ:OtherTobaccoSpecifyDaily","Other Tobacco Smoked Daily","1 = Non Categorical Variable"
"VZ:OtherTobaccoWeekly","Other Tobacco Smoked Weekly","1 = Non Categorical Variable"
"VZ:OtherTobaccoSpecifyDailySpec","Other Tobacco Specify Daily","1 = Non Categorical Variable"
"VZ:OtherTobaccoWeeklySpec","Other Tobacco Specify Weekly","1 = Non Categorical Variable"
"VZ:ConsumptionFrequency","Alcohol Consumption Frequency","1 = Non Categorical Variable"
"VZ:ConsumedAlcoholOccassions","Occassions Consumed Alcohol","1 = Non Categorical Variable"
"VZ:DrinksConsumedOccassions","Drinks Consumed During Occassion","1 = Non Categorical Variable"
"VZ:DrinksPerOccassion","Drinks Per Occassion","1 = Non Categorical Variable"
"VZ:SixDrinksPerOccassion","Six Drinks Per Occassion or More Consumed","1 = Non Categorical Variable"
"VZ:LastWeekMondayDrinks","Last Week Monday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekTuesdayDrinks","Last Week Tuesday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekWednesdayDrinks","Last Week Wednesday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekThursdayDrinks","Last Week Thursday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekFridayDrinks","Last Week Friday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekSaturdayDrinks","Last Week Saturday Drinks","1 = Non Categorical Variable"
"VZ:LastWeekSundayDrinks","Last Week Sunday Drinks","1 = Non Categorical Variable"
"VZ:ConsumedHomeBredAlcohol","Consumed Home Bred Alcohol","1 = Non Categorical Variable"
"VZ:NumberHomeBredSpirits","Number Home Bred Spirits","1 = Non Categorical Variable"
"VZ:NumberHomeBredBeer","Number Home Bred Beer","1 = Non Categorical Variable"
"VZ:NumberAlcoholImported","Number Alcohol Imported","1 = Non Categorical Variable"
"VZ:NumberAlcoholForbidden","Number Alcohol Forbidden","1 = Non Categorical Variable"
"VZ:NumberAlcoholUntaxed","Number of Alcohol Untaxed","1 = Non Categorical Variable"
"VZ:NumberTBTxEver","Number of Times On TB Treatment","1 = Non Categorical Variable"
"VZ:LastTBDateCompletion","TB Completion Date","1 = Non Categorical Variable"
"VZ:CoughDuration","Cough Duration","1 = Non Categorical Variable"
"VZ:CoughSputum","Cough Sputum","1 = Non Categorical Variable"
"VZ:FeverDuration","Fever Duration","1 = Non Categorical Variable"
"VZ:NightSweatsDuration","Night Sweats Duration","1 = Non Categorical Variable"
"VZ:WeightLossNumber","Weight Loss Number","1 = Non Categorical Variable"
"VZ:HIVPosResult1stDate","Date of First HIV Positive Result","1 = Non Categorical Variable"
"VZ:ARTInitiationDate","Date Of ART Initiation","1 = Non Categorical Variable"
"VZ:ARTDefaultTimes","Number of Times ART Defaulted","1 = Non Categorical Variable"
"VZ:LastHIVNegResultDate","Date of Last HIV Negative Result","1 = Non Categorical Variable"
"VZ:Medication1","Medication 1","1 = Non Categorical Variable"
"VZ:Medication2","Medication 2","1 = Non Categorical Variable"
"VZ:Medication3","Medication 3","1 = Non Categorical Variable"
"VZ:Medication4","Medication 4","1 = Non Categorical Variable"
"VZ:Medication5","Medication 5","1 = Non Categorical Variable"
"VZ:Medication6","Medication 6","1 = Non Categorical Variable"
"VZ:Medication7","Medication 7","1 = Non Categorical Variable"
"VZ:Medication8","Medication 8","1 = Non Categorical Variable"
"VZ:Medication1StartDate","Medication 1 Start Date","1 = Non Categorical Variable"
"VZ:Medication2StartDate","Medication 2 Start Date","1 = Non Categorical Variable"
"VZ:Medication3StartDate","Medication 3 Start Date","1 = Non Categorical Variable"
"VZ:Medication4StartDate","Medication 4 Start Date","1 = Non Categorical Variable"
"VZ:Medication5StartDate","Medication 5 Start Date","1 = Non Categorical Variable"
"VZ:Medication6StartDate","Medication 6 Start Date","1 = Non Categorical Variable"
"VZ:Medication7StartDate","Medication 7 Start Date","1 = Non Categorical Variable"
"VZ:Medication8StartDate","Medication 8 Start Date","1 = Non Categorical Variable"
"VZ:Medication9StartDate","Medication 9 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed1","Concurrent Medication 1","1 = Non Categorical Variable"
"VZ:ConcurrMed2","Concurrent Medication 2","1 = Non Categorical Variable"
"VZ:ConcurrMed3","Concurrent Medication 3","1 = Non Categorical Variable"
"VZ:ConcurrMed4","Concurrent Medication 4","1 = Non Categorical Variable"
"VZ:ConcurrMed5","Concurrent Medication 5","1 = Non Categorical Variable"
"VZ:ConcurrMedIndica1","Concurrent Medication Indication 1","1 = Non Categorical Variable"
"VZ:ConcurrMedIndica2","Concurrent Medication Indication 2","1 = Non Categorical Variable"
"VZ:ConcurrMedIndica3","Concurrent Medication Indication 3","1 = Non Categorical Variable"
"VZ:ConcurrMedIndica4","Concurrent Medication Indication 4","1 = Non Categorical Variable"
"VZ:ConcurrMedIndica5","Concurrent Medication Indication 5","1 = Non Categorical Variable"
"VZ:ConcurrMed1StartDate","Concurrent Medication 1 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed2StartDate","Concurrent Medication 2 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed3StartDate","Concurrent Medication 3 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed4StartDate","Concurrent Medication 4 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed5StartDate","Concurrent Medication 5 Start Date","1 = Non Categorical Variable"
"VZ:ConcurrMed5Curr","Taking Concurrent Medication 5","1 = Non Categorical Variable"
"VZ:ConcurrMed1Adher","Adherence Concurrent Medication 1","1 = Non Categorical Variable"
"VZ:TimeLastMeal","Time Last Meal","1 = Non Categorical Variable"
"VZ:LastMenstrualDate","Date of Last Menstrual","1 = Non Categorical Variable"
"VZ:FoodVoucherId","Food Voucher Id","1 = Non Categorical Variable"
"VZ:FoodPackId","Food Pack Id","1 = Non Categorical Variable"
"VZ:NotAllCompleteReaons","Not All Complete Reasons","1 = Non Categorical Variable"
"VZ:SST1","SST1","1 = Non Categorical Variable"
"VZ:EDT1","EDT1","1 = Non Categorical Variable"
"VZ:EDT2","EDT2","1 = Non Categorical Variable"
"VZ:EDT3_1","EDT3_1","1 = Non Categorical Variable"
"VZ:EDT3_2","EDT3_2","1 = Non Categorical Variable"
