Term ID	Label	Parent Term	Defintion	GECKO Category	Internal ID	Suggested Categories	Comment
CHOP:0000091	PNC_ADD011		Attention Deficit Disorder: Did you often have trouble paying attention or keeping your mind on your school, work, chores, or other activities that you were doing?	mental and behaviour disorders|cognitive functioning	ADD011		Encoded Value
CHOP:0000092	PNC_ADD012		Attention Deficit Disorder: Did you often have problems following instructions and often fail to finish school, work, or other things you meant to get done?	mental and behaviour disorders|cognitive functioning	ADD012		Encoded Value
CHOP:0000093	PNC_ADD013		Attention Deficit Disorder: Did you often dislike, avoid, or put off school or homework (or any other activity requiring concentration)	mental and behaviour disorders|cognitive functioning	ADD013		Encoded Value
CHOP:0000094	PNC_ADD014		Attention Deficit Disorder: Did you often lose things you needed for school or projects at home (assignments or books) or make careless mistakes in school work or other activities?	mental and behaviour disorders|cognitive functioning	ADD014		Encoded Value
CHOP:0000095	PNC_ADD015		Attention Deficit Disorder: Did you often have trouble making plans, doing things that had to be done in a certain kind of order, or that had a lot of different steps?	mental and behaviour disorders|cognitive functioning	ADD015		Encoded Value
CHOP:0000096	PNC_ADD016		Attention Deficit Disorder: Did you often have people tell you that you did not seem to be listening when they spoke to you or that you were daydreaming?	mental and behaviour disorders|cognitive functioning	ADD016		Encoded Value
CHOP:0000097	PNC_ADD017		Attention Deficit Disorder: Did you have these difficulties at home (with your parents)?	mental and behaviour disorders|cognitive functioning	ADD017		Encoded Value
CHOP:0000098	PNC_ADD018		Attention Deficit Disorder: Did you have these difficulties at school (with your teachers)?	mental and behaviour disorders|cognitive functioning	ADD018		Encoded Value
CHOP:0000099	PNC_ADD019		Attention Deficit Disorder: Did you have these difficulties anywhere else (with other adults)?	mental and behaviour disorders|cognitive functioning	ADD019		Encoded Value
CHOP:0000100	PNC_ADD020		"Attention Deficit Disorder: Did you often have difficulty sitting still for more than a few minutes at a time, even after being asked to stay seated, or did you often fidget with your hands or feet or wiggle in your seat or were you ""always on the go""?"	mental and behaviour disorders|cognitive functioning	ADD020		Encoded Value
CHOP:0000101	PNC_ADD021		Attention Deficit Disorder: Did you often blurt out answers to other people's questions before they finished speaking or interrupt people abruptly?	mental and behaviour disorders|cognitive functioning	ADD021		Encoded Value
CHOP:0000102	PNC_ADD022		Attention Deficit Disorder: Did you often join other people's conversations or have trouble waiting your turn (e.g., waiting in line, waiting for a teacher to call on you in class)?	mental and behaviour disorders|cognitive functioning	ADD022		Encoded Value
CHOP:0000103	PNC_ADD023		Attention Deficit Disorder: Did you have these difficulties at home (with your parents)?	mental and behaviour disorders|cognitive functioning	ADD023		Encoded Value
CHOP:0000104	PNC_ADD024		Attention Deficit Disorder: Did you have these difficulties at school (with your teachers)?	mental and behaviour disorders|cognitive functioning	ADD024		Encoded Value
CHOP:0000105	PNC_ADD025		Attention Deficit Disorder: Did you have these difficulties anywhere else (with others adults)?	mental and behaviour disorders|cognitive functioning	ADD025		Encoded Value
CHOP:0000106	PNC_ADD026		Attention Deficit Disorder: When did these difficulties with attention and/or restlessness begin? (age)	mental and behaviour disorders|cognitive functioning	ADD026		Encoded Value
CHOP:0000107	PNC_ADD027		Attention Deficit Disorder: You told me that you (list endorsed attentional problems). How much did having difficulties with concentration, attention, or being restless or impatient upset or bother you?	mental and behaviour disorders|cognitive functioning	ADD027		Encoded Value
CHOP:0000108	PNC_ADD028		Attention Deficit Disorder: Did family members seem upset, angry, or annoyed with you because of your difficulties?	mental and behaviour disorders|cognitive functioning	ADD028		Encoded Value
CHOP:0000109	PNC_ADD029		Attention Deficit Disorder: Did these behaviors/inattention bother your friends?	mental and behaviour disorders|cognitive functioning	ADD029		Encoded Value
CHOP:0000110	PNC_ADD030		Attention Deficit Disorder: Did teachers or classmates (or co-workers/supervisors) complain about your inattention/behavior?	mental and behaviour disorders|cognitive functioning	ADD030		Encoded Value
CHOP:0000111	PNC_ADD032		Attention Deficit Disorder: Did you stay home from school or work because of your difficulties with inattention or overactivity? (For example: Were you sent home?)	mental and behaviour disorders|cognitive functioning	ADD032		Encoded Value
CHOP:0000112	PNC_ADD033		Attention Deficit Disorder: How many days of school or work did you miss because of your difficulties with attention or overactivity? (lifetime)	mental and behaviour disorders|cognitive functioning	ADD033		Encoded Value
CHOP:0000113	PNC_ADD034		Attention Deficit Disorder: How old were you the first time you did these (list behaviors)? (Age)	mental and behaviour disorders|cognitive functioning	ADD034		Encoded Value
CHOP:0000114	PNC_ADD034a		Attention Deficit Disorder: How old were you the first time you did these (list behaviors)? (Always)	mental and behaviour disorders|cognitive functioning	ADD034a		Encoded Value
CHOP:0000115	PNC_ADD035		Attention Deficit Disorder: Do you still have any of these (list behaviors)?	mental and behaviour disorders|cognitive functioning	ADD035		Encoded Value
CHOP:0000116	PNC_ADD036		Attention Deficit Disorder: How old were you the last time you did this behavior?	mental and behaviour disorders|cognitive functioning	ADD036		Encoded Value
CHOP:0000117	PNC_ADD050		Attention Deficit Disorder: Did a teacher ever talk to your parents about problems paying attention or sitting still?	mental and behaviour disorders|cognitive functioning	ADD050		Encoded Value
CHOP:0000118	PNC_AGR001		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: being in crowds (for example, a classroom, cafeteria, restaurant, or movie theater)?	mental and behaviour disorders|cognitive functioning	AGR001		Encoded Value
CHOP:0000119	PNC_AGR002		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: going to public places (such as a store or shopping mall)?	mental and behaviour disorders|cognitive functioning	AGR002		Encoded Value
CHOP:0000120	PNC_AGR003		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: being in an open field?	mental and behaviour disorders|cognitive functioning	AGR003		Encoded Value
CHOP:0000121	PNC_AGR004		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: going over bridges or through tunnels?	mental and behaviour disorders|cognitive functioning	AGR004		Encoded Value
CHOP:0000122	PNC_AGR005		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: traveling by yourself?	mental and behaviour disorders|cognitive functioning	AGR005		Encoded Value
CHOP:0000123	PNC_AGR006		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: traveling away from home?	mental and behaviour disorders|cognitive functioning	AGR006		Encoded Value
CHOP:0000124	PNC_AGR007		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: traveling in a car?	mental and behaviour disorders|cognitive functioning	AGR007		Encoded Value
CHOP:0000125	PNC_AGR008		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of: using public transportation like a bus or SEPTA?	mental and behaviour disorders|cognitive functioning	AGR008		Encoded Value
CHOP:0000126	PNC_AGR009		Agoraphopbia: Have you been afraid about (insert all situations endorsed) because you were worried about having a scary/strange feeling in your body or other body problem(s)?	mental and behaviour disorders|cognitive functioning	AGR009		Encoded Value
CHOP:0000127	PNC_AGR010		Agoraphopbia: Have you been afraid of being in places because you were worried that you might get trapped, couldn't escape, would be embarrassed to escape or couldn't get help?	mental and behaviour disorders|cognitive functioning	AGR010		Encoded Value
CHOP:0000128	PNC_AGR011		Agoraphopbia: When you had to do (insert all situations endorsed), did your heart ever beat very fast, did you feel sweaty or have trouble breathing, did you feel like crying, losing your temper, or like you couldn't move around?	mental and behaviour disorders|cognitive functioning	AGR011		Encoded Value
CHOP:0000129	PNC_AGR012		Agoraphopbia: Were you only able to face (fear) when you were with a parent or friend?	mental and behaviour disorders|cognitive functioning	AGR012		Encoded Value
CHOP:0000130	PNC_AGR013		Agoraphopbia: When you had to face (feared situations), did you try to avoid it or if you couldn't avoid it, did you feel very distressed or need someone with you when you faced it?	mental and behaviour disorders|cognitive functioning	AGR013		Encoded Value
CHOP:0000131	PNC_AGR014		Agoraphopbia: How much did having this fear upset or bother you?	mental and behaviour disorders|cognitive functioning	AGR014		Encoded Value
CHOP:0000132	PNC_AGR015		Agoraphopbia: How much did the fear you told me about cause problems for you at home, at school or work, or with your family or friends?	mental and behaviour disorders|cognitive functioning	AGR015		Encoded Value
CHOP:0000133	PNC_AGR016		Agoraphopbia: Did you stay home from school or work because of your fear?	mental and behaviour disorders|cognitive functioning	AGR016		Encoded Value
CHOP:0000134	PNC_AGR017		Agoraphopbia: How many days of school/work did you miss? (lifetime) (Days)	mental and behaviour disorders|cognitive functioning	AGR017		Encoded Value
CHOP:0000135	PNC_AGR018		Agoraphopbia: How many days of school/work did you miss? (lifetime) (Weeks)	mental and behaviour disorders|cognitive functioning	AGR018		Encoded Value
CHOP:0000136	PNC_AGR019		Agoraphopbia: How many days of school/work did you miss? (lifetime) (Months)	mental and behaviour disorders|cognitive functioning	AGR019		Encoded Value
CHOP:0000137	PNC_AGR020		Agoraphopbia: Did you ever avoid going to fun activities/events like amusement parks, movies, or parties because of your fear?	mental and behaviour disorders|cognitive functioning	AGR020		Encoded Value
CHOP:0000138	PNC_AGR021		Agoraphopbia: How many times? (did you avoid going to fun activities)	mental and behaviour disorders|cognitive functioning	AGR021		Encoded Value
CHOP:0000139	PNC_AGR022		Agoraphopbia: How old were you the first time you were afraid of (fear)? (Age)	mental and behaviour disorders|cognitive functioning	AGR022		Encoded Value
CHOP:0000140	PNC_AGR022a		Agoraphopbia: How old were you the first time you were afraid of (fear)? (Always)	mental and behaviour disorders|cognitive functioning	AGR022a		Encoded Value
CHOP:0000141	PNC_AGR023		Agoraphopbia: Are you still afraid of (fear)?	mental and behaviour disorders|cognitive functioning	AGR023		Encoded Value
CHOP:0000142	PNC_AGR024		Agoraphopbia: How old were you the last time you had this fear?	mental and behaviour disorders|cognitive functioning	AGR024		Encoded Value
CHOP:0000143	PNC_AGR030		Agoraphopbia: Is your fear of (insert situation) related to your fear of (insert previously reported fear)?	mental and behaviour disorders|cognitive functioning	AGR030		Encoded Value
CHOP:0000144	PNC_AGR035		Agoraphopbia: Looking at this card, have you ever been very nervous or afraid of being in crowds, going to public places, traveling by yourself, traveling away from home, or using public transportation like a bus or SEPTA?	mental and behaviour disorders|cognitive functioning	AGR035		Encoded Value
CHOP:0000145	PNC_CDD001		Conduct Disorder: Was there ever a time when you often did things that got you into trouble with adults like lying or stealing (something worth more than $5, from family, others, or stores)?	mental and behaviour disorders|cognitive functioning	CDD001		Encoded Value
CHOP:0000146	PNC_CDD001a		Conduct Disorder: Was there ever a time when you did things that got you into trouble with adults like lying or stealing or breaking rules?	mental and behaviour disorders|cognitive functioning	CDD001a		Encoded Value
CHOP:0000147	PNC_CDD002		Conduct Disorder: Did you ever skip school, stay out at night later than you were supposed to (more than 2 hours), or run away from home overnight?	mental and behaviour disorders|cognitive functioning	CDD002		Encoded Value
CHOP:0000148	PNC_CDD002a		Conduct Disorder: Did you ever skip school, stay out at night later than you were supposed to, or run away from home overnight?	mental and behaviour disorders|cognitive functioning	CDD002a		Encoded Value
CHOP:0000149	PNC_CDD003		Conduct Disorder: Did you ever set fires, break into cars, or destroy someone else's property on purpose?	mental and behaviour disorders|cognitive functioning	CDD003		Encoded Value
CHOP:0000150	PNC_CDD004		Conduct Disorder: Do you have a probation officer or have you ever been on probation?	mental and behaviour disorders|cognitive functioning	CDD004		Encoded Value
CHOP:0000151	PNC_CDD005		Conduct Disorder: Did you often bully others (hitting, threatening or scaring someone who was younger or smaller), threaten or frighten someone on purpose, or often start physical fights with others?	mental and behaviour disorders|cognitive functioning	CDD005		Encoded Value
CHOP:0000152	PNC_CDD006		Conduct Disorder: Have you ever been physically cruel to an animal or person (on purpose)?	mental and behaviour disorders|cognitive functioning	CDD006		Encoded Value
CHOP:0000153	PNC_CDD007		Conduct Disorder: Did you ever: try to hurt someone with a weapon (a bat, brick, broken bottle, knife, or gun)?	mental and behaviour disorders|cognitive functioning	CDD007		Encoded Value
CHOP:0000154	PNC_CDD008		Conduct Disorder: Did you ever: threaten someone?	mental and behaviour disorders|cognitive functioning	CDD008		Encoded Value
CHOP:0000155	PNC_CDD009		Conduct Disorder: Did you ever: hold someone up?	mental and behaviour disorders|cognitive functioning	CDD009		Encoded Value
CHOP:0000156	PNC_CDD010		Conduct Disorder: Did you ever: attack someone to steal from them?	mental and behaviour disorders|cognitive functioning	CDD010		Encoded Value
CHOP:0000157	PNC_CDD011		Conduct Disorder: Did you ever: trick or threaten someone into having sex with you, or did anyone ever accuse you of making them do something sexual?	mental and behaviour disorders|cognitive functioning	CDD011		Encoded Value
CHOP:0000158	PNC_CDD013		Conduct Disorder: Were you ever suspended from school?	mental and behaviour disorders|cognitive functioning	CDD013		Encoded Value
CHOP:0000159	PNC_CDD014		Conduct Disorder: How many times? (were you suspended from school)	mental and behaviour disorders|cognitive functioning	CDD014		Encoded Value
CHOP:0000160	PNC_CDD015		Conduct Disorder: Were you ever expelled from school?	mental and behaviour disorders|cognitive functioning	CDD015		Encoded Value
CHOP:0000161	PNC_CDD016		Conduct Disorder: Were you ever in trouble with the police? (includes probation)	mental and behaviour disorders|cognitive functioning	CDD016		Encoded Value
CHOP:0000162	PNC_CDD017		Conduct Disorder: Have you ever actually been arrested or sent to juvenile court for something you have done?	mental and behaviour disorders|cognitive functioning	CDD017		Encoded Value
CHOP:0000163	PNC_CDD019		Conduct Disorder: Have you ever been involved in juvenile court for family problems?	mental and behaviour disorders|cognitive functioning	CDD019		Encoded Value
CHOP:0000164	PNC_CDD020		Conduct Disorder: You told me that you (list endorsed behaviors). How much did having these behavior(s) upset or bother you?	mental and behaviour disorders|cognitive functioning	CDD020		Encoded Value
CHOP:0000165	PNC_CDD021		Conduct Disorder: How much did these behaviors change your relationships with your family? (Did your family say something about this to you? Did family members seem upset, angry, or annoyed with you because of your behavior(s))?	mental and behaviour disorders|cognitive functioning	CDD021		Encoded Value
CHOP:0000166	PNC_CDD022		Conduct Disorder: How much did these behaviors change your relationships with your friends? (Did you find yourself spending much less time than usual with your friends? Did your friends say something about this)?	mental and behaviour disorders|cognitive functioning	CDD022		Encoded Value
CHOP:0000167	PNC_CDD023		Conduct Disorder: How much did these behaviors change your relationships with your teachers or classmates? change how well you did at school, on tests, homework, or grades?	mental and behaviour disorders|cognitive functioning	CDD023		Encoded Value
CHOP:0000168	PNC_CDD024		Conduct Disorder: Did you stay home or were you sent home from school because of your behavior?	mental and behaviour disorders|cognitive functioning	CDD024		Encoded Value
CHOP:0000169	PNC_CDD025		Conduct Disorder: How many days of school did you miss? (lifetime)	mental and behaviour disorders|cognitive functioning	CDD025		Encoded Value
CHOP:0000170	PNC_CDD026		Conduct Disorder: How old were you the first time you did these (list behaviors)? (Age)	mental and behaviour disorders|cognitive functioning	CDD026		Encoded Value
CHOP:0000171	PNC_CDD026a		Conduct Disorder: How old were you the first time you did these (list behaviors)? (Always)	mental and behaviour disorders|cognitive functioning	CDD026a		Encoded Value
CHOP:0000172	PNC_CDD027		Conduct Disorder: Do you still (insert behavior(s))?	mental and behaviour disorders|cognitive functioning	CDD027		Encoded Value
CHOP:0000173	PNC_CDD028		Conduct Disorder: How old were you the last time you did these behaviors?	mental and behaviour disorders|cognitive functioning	CDD028		Encoded Value
CHOP:0000174	PNC_DEP001		Depression: Has there ever been a time when you felt sad or depressed most of the time?	mental and behaviour disorders|cognitive functioning	DEP001		Encoded Value
CHOP:0000175	PNC_DEP002		Depression: Has there ever been a time when you cried a lot, or felt like crying?	mental and behaviour disorders|cognitive functioning	DEP002		Encoded Value
CHOP:0000176	PNC_DEP003		Depression: Was this different from how you usually are?	mental and behaviour disorders|cognitive functioning	DEP003		Encoded Value
CHOP:0000177	PNC_DEP004		Depression: Has there ever been a time when you felt grouchy, irritable or in a bad mood most of the time; even little things would make you mad?	mental and behaviour disorders|cognitive functioning	DEP004		Encoded Value
CHOP:0000178	PNC_DEP005		Depression: Was this different from how you usually are?	mental and behaviour disorders|cognitive functioning	DEP005		Encoded Value
CHOP:0000179	PNC_DEP006		Depression: Has there ever been a time when nothing was fun for you and you just weren't interested in anything?	mental and behaviour disorders|cognitive functioning	DEP006		Encoded Value
CHOP:0000180	PNC_DEP007		Depression: Was this different from how you usually are?	mental and behaviour disorders|cognitive functioning	DEP007		Encoded Value
CHOP:0000181	PNC_DEP008		Depression: Did other people say that you seemed (more sad, more grouchy, or like you weren't having as much fun as usual)?	mental and behaviour disorders|cognitive functioning	DEP008		Encoded Value
CHOP:0000182	PNC_DEP009		Depression: When did you feel the most (sad, grouchy, irritable, in a bad mood, had touble having fun)?	mental and behaviour disorders|cognitive functioning	DEP009		Encoded Value
CHOP:0000183	PNC_DEP010		Depression: During that time when you were feeling the most (sad, grouchy, irritable, in a bad mood, had trouble having fun), did that/those feeling(s) last most of the day?	mental and behaviour disorders|cognitive functioning	DEP010		Encoded Value
CHOP:0000184	PNC_DEP011		Depression: Did you feel this way nearly every day for at least one week?	mental and behaviour disorders|cognitive functioning	DEP011		Encoded Value
CHOP:0000185	PNC_DEP012		Depression: During this time, did you have problems falling asleep, waking up before you had to, or sleeping more than usual for you?	mental and behaviour disorders|cognitive functioning	DEP012		Encoded Value
CHOP:0000186	PNC_DEP013		Depression: During this time, did you eat less/more or feel less/more hungry than usual? (Did you lose/gain weight)?	mental and behaviour disorders|cognitive functioning	DEP013		Encoded Value
CHOP:0000187	PNC_DEP014		Depression: During this time, did you have trouble sitting still or feel like you had to keep moving around OR did you move or think more slowly than usual?	mental and behaviour disorders|cognitive functioning	DEP014		Encoded Value
CHOP:0000188	PNC_DEP015		Depression: During this time, did you feel really tired or have less energy than usual?	mental and behaviour disorders|cognitive functioning	DEP015		Encoded Value
CHOP:0000189	PNC_DEP016		Depression: During this time, did you have problems keeping your mind on things (like homework), remembering things, thinking clearly, or making decisions?	mental and behaviour disorders|cognitive functioning	DEP016		Encoded Value
CHOP:0000190	PNC_DEP017		Depression: During this time, did you blame yourself for bad things that happened or feel like you didn't really matter?	mental and behaviour disorders|cognitive functioning	DEP017		Encoded Value
CHOP:0000191	PNC_DEP018		Depression: How much did your feeling (sad, grouchy, like nothing was fun) upset or bother you?	mental and behaviour disorders|cognitive functioning	DEP018		Encoded Value
CHOP:0000192	PNC_DEP019		Depression: How much did your feeling (sad, grouchy, like nothing was fun) you told me about cause problems for you at home, at school or work, or with your family or friends?	mental and behaviour disorders|cognitive functioning	DEP019		Encoded Value
CHOP:0000193	PNC_DEP020		Depression: Did you stay home from school or work because of the way you were feeling?	mental and behaviour disorders|cognitive functioning	DEP020		Encoded Value
CHOP:0000194	PNC_DEP021		Depression: How many days of school/work did you miss? (during the worst episode)	mental and behaviour disorders|cognitive functioning	DEP021		Encoded Value
CHOP:0000195	PNC_DEP022		Depression: How old were you the very first time in your life that you felt (sad, depressed/grouchy, like nothing was fun) most of the time?	mental and behaviour disorders|cognitive functioning	DEP022		Encoded Value
CHOP:0000196	PNC_DEP023		Depression: How long did it last? (Days)	mental and behaviour disorders|cognitive functioning	DEP023		Encoded Value
CHOP:0000197	PNC_DEP024		Depression: How long did it last? (Weeks)	mental and behaviour disorders|cognitive functioning	DEP024		Encoded Value
CHOP:0000198	PNC_DEP025		Depression: How old were you when it ended?	mental and behaviour disorders|cognitive functioning	DEP025		Encoded Value
CHOP:0000199	PNC_DEP026		Depression: Including the times you just told me about, how many different times in your life have you felt (sad, grouchy, like nothing was fun) most of the time?	mental and behaviour disorders|cognitive functioning	DEP026		Encoded Value
CHOP:0000200	PNC_DEP030		Depression: How long was the longest time you felt (sad, grouchy/, like nothing was fun)?  (Days)	mental and behaviour disorders|cognitive functioning	DEP030		Encoded Value
