Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:elecdur	Duration of elective wait (submitted)	Admissions; Period of Care	This submitted field contains the difference in days between the date on which it was decided to admit the patient (elecdate) and the actual admission date (admidate). Elecdur is only applicable where an elective admission (ie the admission method is 11, 12 or 13) was scheduled and took place.	date and time-related information		date decided to admit -> actual admission date for elective admission - date and time-related or timeline?	
GE:admidate	Date of admission	Admissions; Period of Care	This field contains the date the patient was admitted to hospital at the start of a hospital spell. Admidate is recorded on all episodes within a spell.	date and time-related information			
GE:elecdate	Date of decision to admit	Admissions; Period of Care	This field contains the date on which a consultant, or another member of the clinical staff, decided to admit the patient to a hospital. The patient may or may not be admitted immediately. The time between elecdate and admidate (admission date) is known as the waiting time.	date and time-related information		date and time-related or timeline?	
GE:fyear	Financial Year	Admissions; Period of Care|Appointments|Administrative	Financial Year|Financial Year of activity	date and time-related information		admission from ER	
GE:age_bands	Age Bands			age/birthdate		broader than 'age/birthdate' - this is a grouping category	
GE:ic_age10	Age Band 10 years	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80-89, 90 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date‚Ä®<= Today‚Ä®<= Service Report Issue Date Person Birthdate can be left blank If values are incorrect data will not upload	age/birthdate			
GE:ic_age5	Age Band 5 years	Age Bands	Rules for deriving referrer type are: GP (where referrer code is G followed by a number) Consultant (where referrer code is C followed by a number, includes C9999998 - consultant general medical council reference number not known EXCLUDES CD999998) Nurse (where referrer code starts with a 2 digit number) Physio (where referrer code starts with PH followed by a number)Not known (null or X9999998)	age/birthdate			
GE:ic_age17_60	ic_age17_60	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0-15, 16-60, 61 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date‚Ä®<= Today‚Ä®<= Service Report Issue Date Person Birthdate can be left blank If values are incorrect data will not upload	age/birthdate			
GE:ic_age17_64	ic_age17_64	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0-15, 16-60, 61 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date‚Ä®<= Today‚Ä®<= Service Report Issue Date Person Birthdate can be left blank If values are incorrect data will not upload	age/birthdate			
GE:ic_age50_74	ic_age50_74	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0-18, 19 ‚Äì 49, 50 ‚Äì 74, 75 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date‚Ä®<= Today‚Ä®<= Service Report Issue Date Person Birthdate can be left blank If values are incorrect data will not upload	age/birthdate			
GE:ic_agechild	ic_agechild	Age Bands	Based on submitted Person Birthdate, converted to age bands: 0, 1-4, 5-9, 10-15, 16 and over, Age not known Person Birthdate is hard validated. This means it must be in the correct format CCYY-MM-DD and must be: <= Diagnostic Test Date‚Ä®<= Today‚Ä®<= Service Report Issue Date‚Ä®Person Birthdate can be left blank‚Ä®If values are incorrect data will not upload	age/birthdate			
GE:appointments	Appointments			survey administration		outpatient appointments (broad)	
GE:servtype	Service type requested	Appointments	Describes the terms of reference for the referral request.	survey administration			
GE:apptdate	Appointment date	Appointments	The date when an appointment was scheduled.	date and time-related information			
GE:atentype	Attendance type	Appointments	A field derived from First Attendance (firstatt) and Attended or Did Not Attend (attended), used to identify if the attendance occurred and whether it was the first or subsequent.	survey administration			
GE:attended	Attended or did not attend	Appointments	This indicates whether or not a patient attended for an appointment. If the patient did not attend it also indicates whether or not advanced warning was given.	survey administration			
GE:stafftyp	Medical staff type seeing patient	Appointments	Gives information about the type of care professional staff dealing with the patient during a consultant outpatient attendance, or nurse or midwife contact.	physician/practitioner info			
GE:outcome	Outcome of attendance	Appointments	This records the outcome of an outpatient attendance.	survey administration			
GE:priority	Priority type	Appointments	This is the priority of a request for services; in the case of services to be provided by a consultant, it is as assessed by or on behalf of the consultant.	survey administration			
GE:locclass	Location Class	Appointments	A classification for use within CDS messages of the physical location within which the recorded patient event occurs.	survey administration			
GE:loctype	Location Tyoe	Appointments	This records the type of location. The definition of this field is currently under review.	survey administration			
GE:reggmp	Code of patient's registered or referring general medical practitioner	Appointments|Practitioner data	"The General Medical Practitioner PPD code of the GP specified by the patient, which identifies the GP as an individual. This GP works within the General Medical Practice with which the patient is registered.
 
 
 
 This field contains sensitive data. Access to it requires the approval of The Independent Group Advising on the Release of Data (IGARD)."	physician/practitioner info			
GE:attendances	Attendances			survey administration		attendances to the ER (broad)	
GE:aerefsource	Source of referral for A&E	Attendances	The source of referral for each A&E episode.	survey administration			
GE:aeincloctype	Incident location type	Attendances	Classification of the place where the incident occurred that led to an A&E episode.	survey administration			
GE:concltime	Conclusion time	Attendances	The time that a patient's A&E attendance ends or when treatment in A&E is completed (whichever is the later).	date and time-related information			
GE:aearrivalmode	Arrival mode	Attendances	The mode by which a patient arrived at an A&E department.	survey administration			
GE:aeattend_exc_planned	Attendances excluding planned	Attendances	"A ""yes/no"" flag, derived from AEATTENDCAT, enabling a count of unplanned attendances to be made."	survey administration			
GE:aeattendcat	Attendance category	Attendances	An indication of whether a patient is making an initial or follow-up attendance within a particular A&E Department. The first attendance (1) is the first in a series, or the only attendance, in a particular A&E Episode. A planned follow-up A&E attendance (2) is a subsequent planned attendance at the same department, and for the same incident as the first attendance. An unplanned follow-up A&E attendance (3) is a subsequent unplanned attendance at the same department, and for the same incident as the first attendance.	survey administration			
GE:aeattenddisp	Attendance disposal	Attendances	The way in which an A&E attendance might end.	survey administration			
GE:arrivaldate	Arrival date	Attendances	The arrival date of a patient in the A&E department.	date and time-related information			
GE:arrivaltime	Arrival time	Attendances	The time the patient self presented at the A&E Department or arrived in an ambulance at the A&E Department.	date and time-related information			
GE:trettime	Time seen for treatment	Attendances	The time, recorded using a 24 hour clock, that the patient is seen by a health professional to diagnose the problem and arrange or start tests and start definite treatment as necessary.	date and time-related information			
GE:concldur	Duration to conclusion	Attendances	The time (expressed as a whole number of minutes) between the patient‚Äö√Ñôs arrival and conclusion of their attendance or treatment (whichever is later).	date and time-related information			
GE:depdur	Duration to departure	Attendances	The time (expressed as a whole number of minutes) between the patient‚Äö√Ñôs arrival, and the time the A&E attendance has concluded and the department is no longer responsible for the care of the patient.	date and time-related information			
GE:initdur	Duration to assessment	Attendances	The time (expressed as a whole number of minutes) between the patient‚Äö√Ñôs arrival and their initial assessment.	date and time-related information			
GE:tretdur	Duration to treatment	Attendances	The time (expressed as a whole number of minutes) between the patient‚Äö√Ñôs arrival (arrivaltime) and the start of their treatment (trettime).	date and time-related information			
GE:aedepttype	Department type	Attendances	A classification of A&E department type according to the activity carried out.	survey administration			
GE:deptime	Departure time	Attendances	A&E departure time is the time that a patient leaves the A&E department after an A&E attendance has concluded and the department is no longer responsible for the care of the patient. Temporary absences from the A&E department are ignored. For example, during an A&E attendance the patient may leave the department for a short time for an X-ray, but they remain under the care of an A&E consultant. Note that A&E Attendance Conclusion time and A&E Departure times will be different for patients who wait for transport or who are lodged patients prior to admission to a ward.	date and time-related information			
GE:aepatgroup	Patient group	Attendances	A coded classification to identify the reason for an Accident and Emergency Episode.	survey administration			
GE:inittime	Initial assessment time	Attendances	The time when a patient is assessed by medical or nursing staff in an A&E department to determine priority for treatment. The assessment should be conducted by medical or nursing staff who have received appropriate training in triage.	date and time-related information			
GE:augmented_critical_care_period	Augmented/critical care period			survey administration			
GE:depdays_2	depdays_2	Augmented/critical care period		date and time-related information			
GE:depdays_3	depdays_3	Augmented/critical care period		date and time-related information			
GE:depdays_4	depdays_4	Augmented/critical care period		date and time-related information			
GE:intdays_8	intdays_8	Augmented/critical care period		date and time-related information		what was planned to happen in hospital	
GE:depdays_5	depdays_5	Augmented/critical care period		date and time-related information			
GE:depdays_6	depdays_6	Augmented/critical care period		date and time-related information			
GE:depdays_7	depdays_7	Augmented/critical care period		date and time-related information			
GE:depdays_8	depdays_8	Augmented/critical care period		date and time-related information			
GE:depdays_9	depdays_9	Augmented/critical care period		date and time-related information			
GE:acpdqind_1	ACPDQIND_N	Augmented/critical care period	Augmented care period data quality indicator	survey administration		quality of data	
GE:acpend_1	ACPEND_N	Augmented/critical care period	This field gives the end date of a period of augmented care (a null entry indicates that this data is not applicable).	date and time-related information		end date of augmented care	
GE:acpend_2	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_3	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_4	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_5	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_6	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_7	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_8	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpend_9	ACPEND_N	Augmented/critical care period		date and time-related information			
GE:acpstar_1	Augmented care period start date	Augmented/critical care period	This field states the start date of a period of augmented care.	date and time-related information			
GE:acpstar_2	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_3	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_4	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_5	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_6	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_7	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_8	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:acpstar_9	Augmented care period start date	Augmented/critical care period		date and time-related information			
GE:intdays_2	intdays_2	Augmented/critical care period		date and time-related information			
GE:intdays_3	intdays_3	Augmented/critical care period		date and time-related information			
GE:intdays_4	intdays_4	Augmented/critical care period		date and time-related information			
GE:intdays_5	intdays_5	Augmented/critical care period		date and time-related information			
GE:intdays_6	intdays_6	Augmented/critical care period		date and time-related information			
GE:intdays_7	intdays_7	Augmented/critical care period		date and time-related information			
GE:intdays_9	intdays_9	Augmented/critical care period		date and time-related information			
GE:intdays_1	Intensive care level days	Augmented/critical care period	This field contains the number of days of intensive care in a period of augmented care.	date and time-related information			
GE:acpspef_1	Augmented care period specialty function code	Augmented/critical care period	This field contains the code for the main specialty of the consultant clinically managing the period of augmented care. This consultant is not necessarily the same as the one responsible for the hospital episode. Where a patient is cared for by a team of specialists within an Intensive Care rota, this field contains the specialty of the team's clinical director. Where there are several specialties involved but none is considered responsible, this field contains the specialty of the consultant admitting the patient to the period of augmented care. If no specific consultant or team can be identified as organising the care associated with the ACP, then this should be the same as for the related consultant episode.	physician/practitioner info		speciality of consultant managing the augmented care	
GE:acpspef_2	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_3	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_4	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_5	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_6	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_7	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_8	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:acpspef_9	Augmented care period specialty function code	Augmented/critical care period		physician/practitioner info			
GE:orgsup_1	Number of organ systems supported	Augmented/critical care period	This field contains the number of organ support systems used (up to five) during a period of augmented care.	survey administration			
GE:orgsup_2	orgsup_2	Augmented/critical care period		survey administration			
GE:orgsup_3	orgsup_3	Augmented/critical care period		survey administration			
GE:orgsup_4	orgsup_4	Augmented/critical care period		survey administration			
GE:orgsup_5	orgsup_5	Augmented/critical care period		survey administration			
GE:orgsup_6	orgsup_6	Augmented/critical care period		survey administration			
GE:orgsup_7	orgsup_7	Augmented/critical care period		survey administration			
GE:orgsup_8	orgsup_8	Augmented/critical care period		survey administration			
GE:orgsup_9	orgsup_9	Augmented/critical care period		survey administration			
GE:acpdisp_1	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location		destination of discharged patient (e.g. ICU, home, death, etc.)	
GE:acpdisp_2	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_3	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_4	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_5	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_6	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_7	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_8	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acpdisp_9	ACPDISP_N	Augmented/critical care period	This field gives the destination of a discharged patient after a period of augmented care. Compare this field with disdest (destination on discharge from a hospital episode).	location			
GE:acploc_1	ACPLOC_N	Augmented/critical care period	This field gives the location of a patient during a period of augmented care.	location		location of augmented care	
GE:acploc_2	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_3	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_4	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_5	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_6	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_7	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_8	ACPLOC_N	Augmented/critical care period		location			
GE:acploc_9	ACPLOC_N	Augmented/critical care period		location			
GE:acpn_1	ACPN_N	Augmented/critical care period	This field contains a number representing the order of an episode within a sequence of episodes that make up a period of augmented care.	survey administration		order of an episode during augmented care	
GE:acpn_2	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_3	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_4	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_5	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_6	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_7	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_8	ACPN_N	Augmented/critical care period		survey administration			
GE:acpn_9	ACPN_N	Augmented/critical care period		survey administration			
GE:acpout_1	ACPOUT_N	Augmented/critical care period	This field identifies whether a patient survived. For deaths it indicates whether organs were donated. Organs are defined as whole organs such as heart, lung, liver, kidney and pancreas. The value 03 does not include parts of organs such as corneas, heart valves, etc.	survey administration		death and organ donation	
GE:acpout_2	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_3	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_4	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_5	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_6	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_7	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_8	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpout_9	ACPOUT_N	Augmented/critical care period		survey administration			
GE:acpplan_1	ACPPLAN_N	Augmented/critical care period	This field indicates whether any part of the ACP was planned in advance of admission to the ACP location.	survey administration		was augmented care planned before admission?	
GE:acpplan_2	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_3	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_4	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_5	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_6	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_7	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_8	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpplan_9	ACPPLAN_N	Augmented/critical care period		survey administration			
GE:acpsour_1	ACPSOUR_N	Augmented/critical care period	This field defines where the patient was immediately before the period of augmented care. Compare this field with admisorc (source of patient for a hospital episode).	location		location of patient before augmented care (e.g. ICU, recovery, ER, etc.)	
GE:acpsour_2	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_3	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_4	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_5	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_6	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_7	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_8	ACPSOUR_N	Augmented/critical care period		location			
GE:acpsour_9	ACPSOUR_N	Augmented/critical care period		location			
GE:numacp	Number of augmented care periods within episode	Augmented/critical care period	This derived field gives the number of augmented care periods (ACPs) within episode.	survey administration			
GE:depdays_1	High-dependency care level	Augmented/critical care period	This field contains the number of days of high dependency care in a period of augmented care.	date and time-related information		are these questions to determine if hip replacement is NEEDED (symptoms) or after hip replacement?	
GE:cancer_diagnosis	Cancer diagnosis			oncological			
GE:ic_cancer_desc	Early cancer diagnosis	Cancer diagnosis	Descriptive categorisation, based on a subset of submitted NICIP or SNOMED-CT imaging codes particularly used to diagnose or discount the following cancers, as identified by clinicians	oncological			
GE:ccg	CCG			physician/practitioner info		clincial commision groups - this is broader than physcian?	
GE:ic_ccgcode	CCG Code	CCG	Returns the CCG code of the referring organisation, derived from the submitted field General Medical Practice Code (Patient Registration)	physician/practitioner info		clinical commission group	
GE:ic_ccgname	CCG Name	CCG	Descriptive field (based on the CCG Code) returning the CCG title, derived from the submitted field General Medical Practice Code (Patient Registration)	physician/practitioner info		clinical commission group	
GE:clinical	Clinical						
GE:cause	Cause Code	Clinical	External cause of injury or poisoning. This item is a copy of the first diagnosis code that represents an external cause.	diseases		cause of injury or poisoning	
GE:diag_13	diag_13	Clinical		diseases		should be under Clinical diagnoses - this can be disease or trauma	
GE:diag_14	diag_14	Clinical		diseases			
GE:diag_15	diag_15	Clinical		diseases			
GE:diag_16	diag_16	Clinical		diseases			
GE:diag_17	diag_17	Clinical		diseases			
GE:diag_18	diag_18	Clinical		diseases			
GE:diag_19	diag_19	Clinical		diseases			
GE:diag_20	diag_20	Clinical		diseases			
GE:wait_ind	Waiting calculation indicator	Clinical	WAIT_IND indicates how and whether the field 'Days Waiting' (WAITING) has been calculated.	survey administration		if and how 'Days Waiting' was calculated - timeline?	
GE:opdate_02	opdate_02	Clinical		surgical interventions			
GE:opdate_03	opdate_03	Clinical		surgical interventions			
GE:opdate_04	opdate_04	Clinical		surgical interventions			
GE:opdate_05	opdate_05	Clinical		surgical interventions			
GE:opdate_06	opdate_06	Clinical		surgical interventions			
GE:opdate_07	opdate_07	Clinical		surgical interventions			
GE:opdate_08	opdate_08	Clinical		surgical interventions			
GE:opdate_09	opdate_09	Clinical		surgical interventions			
GE:opdate_10	opdate_10	Clinical		surgical interventions			
GE:opdate_11	opdate_11	Clinical		surgical interventions			
GE:opdate_12	opdate_12	Clinical		surgical interventions			
GE:opdate_13	opdate_13	Clinical		surgical interventions			
GE:opdate_14	opdate_14	Clinical		surgical interventions			
GE:opdate_15	opdate_15	Clinical		surgical interventions			
GE:opdate_16	opdate_16	Clinical		surgical interventions			
GE:opdate_17	opdate_17	Clinical		surgical interventions			
GE:opdate_18	opdate_18	Clinical		surgical interventions			
GE:opdate_19	opdate_19	Clinical		surgical interventions			
GE:opdate_20	opdate_20	Clinical		surgical interventions			
GE:opdate_21	opdate_21	Clinical		surgical interventions			
GE:opdate_22	opdate_22	Clinical		surgical interventions			
GE:opdate_23	opdate_23	Clinical		surgical interventions			
GE:opdate_24	opdate_24	Clinical		surgical interventions			
GE:operstat	Operation status code	Clinical	Status of operation.	surgical interventions			
GE:opertn_01	Operative procedure	Clinical	There are twenty-four fields (twelve before April 2007), oper_01 to oper_24, which contain information about a patient's operations. The field oper_01 contains the main (ie most resource intensive) procedure. The other fields contain secondary procedures. The codes are defined in the Tabular List of the Classification of Surgical Operations and Procedures. The current version is OPCS4. Procedure codes start with a letter and are followed by two or three digits. The third digit identifies variations on a main procedure code containing two digits. The third digit is preceded by a full stop in OPCS4, but this is not stored in the field. A single operation may contain more than one procedure.	surgical interventions			
GE:opertn_02	opertn_02	Clinical		surgical interventions			
GE:opertn_03	opertn_03	Clinical		surgical interventions			
GE:opertn_04	opertn_04	Clinical		surgical interventions			
GE:opertn_05	opertn_05	Clinical		surgical interventions			
GE:opertn_06	opertn_06	Clinical		surgical interventions			
GE:opertn_07	opertn_07	Clinical		surgical interventions			
GE:opertn_08	opertn_08	Clinical		surgical interventions			
GE:opertn_09	opertn_09	Clinical		surgical interventions			
GE:opertn_10	opertn_10	Clinical		surgical interventions			
GE:opertn_11	opertn_11	Clinical		surgical interventions			
GE:opertn_count	Count of procedures	Clinical	The total number of procedure codes present on the record (maximum of 24)	surgical interventions			
GE:opertn_12	opertn_12	Clinical		surgical interventions			
GE:opertn_13	opertn_13	Clinical		surgical interventions			
GE:opertn_14	opertn_14	Clinical		surgical interventions			
GE:opertn_15	opertn_15	Clinical		surgical interventions			
GE:opertn_16	opertn_16	Clinical		surgical interventions			
GE:opertn_17	opertn_17	Clinical		surgical interventions			
GE:opertn_18	opertn_18	Clinical		surgical interventions			
GE:opertn_19	opertn_19	Clinical		surgical interventions			
GE:opertn_20	opertn_20	Clinical		surgical interventions			
GE:opertn_21	opertn_21	Clinical		surgical interventions			
GE:opertn_22	opertn_22	Clinical		surgical interventions			
GE:opertn_23	opertn_23	Clinical		surgical interventions			
GE:opertn_24	opertn_24	Clinical		surgical interventions			
GE:posopdur	Post-operative duration	Clinical	This derived field contains the difference in days between the date of the main procedure (opdate_01) and the date the episode ended (epiend).	surgical interventions			
GE:preopdur	Pre-operative duration	Clinical	This derived field contains the difference in days between the date the episode started (epistart) and the date of the main operation (opdte_01).	surgical interventions			
GE:opdate_01	Date of procedure	Clinical	This field contains the date of the procedure recorded in the respectively numbered procedure code (opertn_nn) field. There is room for twenty four dates (twelve prior to April 2007 and four before April 2002).	surgical interventions			
GE:clinical_diagnoses	Clinical diagnoses						
GE:diag2_02	diag2_02	Clinical diagnoses		diseases			
GE:diag2_03	diag2_03	Clinical diagnoses		diseases			
GE:diag2_04	diag2_04	Clinical diagnoses		diseases			
GE:diag2_05	diag2_05	Clinical diagnoses		diseases			
GE:diag2_06	diag2_06	Clinical diagnoses		diseases			
GE:diag2_07	diag2_07	Clinical diagnoses		diseases			
GE:diag2_08	diag2_08	Clinical diagnoses		diseases			
GE:diag2_09	diag2_09	Clinical diagnoses		diseases			
GE:diag2_10	diag2_10	Clinical diagnoses		diseases			
GE:diag2_11	diag2_11	Clinical diagnoses		diseases			
GE:diag2_12	diag2_12	Clinical diagnoses		diseases			
GE:diaga_02	diaga_02	Clinical diagnoses		diseases			
GE:diaga_03	diaga_03	Clinical diagnoses		diseases			
GE:diaga_04	diaga_04	Clinical diagnoses		diseases			
GE:diaga_05	diaga_05	Clinical diagnoses		diseases			
GE:diaga_06	diaga_06	Clinical diagnoses		diseases			
GE:diaga_07	diaga_07	Clinical diagnoses		diseases			
GE:diaga_08	diaga_08	Clinical diagnoses		diseases			
GE:diaga_09	diaga_09	Clinical diagnoses		diseases			
GE:diaga_10	diaga_10	Clinical diagnoses		diseases			
GE:diaga_11	diaga_11	Clinical diagnoses		diseases			
GE:diaga_12	diaga_12	Clinical diagnoses		diseases			
GE:diags_02	diags_02	Clinical diagnoses		diseases			
GE:diags_03	diags_03	Clinical diagnoses		diseases			
GE:diags_04	diags_04	Clinical diagnoses		diseases			
GE:diags_05	diags_05	Clinical diagnoses		diseases			
GE:diags_06	diags_06	Clinical diagnoses		diseases			
GE:diags_07	diags_07	Clinical diagnoses		diseases			
GE:diags_08	diags_08	Clinical diagnoses		diseases			
GE:diags_09	diags_09	Clinical diagnoses		diseases			
GE:diags_10	diags_10	Clinical diagnoses		diseases			
GE:diags_11	diags_11	Clinical diagnoses		diseases			
GE:diags_12	diags_12	Clinical diagnoses		diseases			
GE:diagscheme	Diagnosis Scheme in Use	Clinical diagnoses	The Coding Scheme basis of the Diagnosis.	survey administration		e.g. ICD-10	
GE:diag2_01	A&E diagnosis: 2 character	Clinical diagnoses	The A&E diagnosis description at 2-character level covering the diagnosis condition. This field contains a description based on the diagnosis condition (first 2 characters) of the A&E diagnosis and only displays a code where it is unclassifiable against the A&E Diagnosis classification.	diseases		disease or trauma	
GE:diaga_01	A&E diagnosis - anatomical area	Clinical diagnoses	The A&E diagnosis anatomical area (a classification of parts of the human body). This field contains a description of the diagnosis anatomical area.	survey administration		disease or trauma	
